date,ticker,shares,per_share,amount
2022-03-03,HWC,155.0,0.27,41.85
2022-03-03,APLE,181.0,0.05,9.05
2022-04-01,APLE,181.0,0.05,9.05
2022-10-25,CALM,55.0,0.853,46.915
2022-11-15,ADM,64.0,0.4,25.6
2022-11-18,DINO,97.0,0.4,38.8
2022-12-14,BDC,98.0,0.05,4.9
2023-02-16,HCC,193.0,0.07,13.51
2023-02-27,HCC,193.0,0.88,169.84
2023-02-27,KNSL,22.0,0.14,3.08
2023-06-15,EXP,37.0,0.25,9.25
2023-06-29,PRIM,213.0,0.06,12.78
2023-07-14,GGG,36.0,0.235,8.46
2023-07-27,CSW,46.0,0.19,8.74
2023-08-16,NE,151.0,0.3,45.3
2023-11-06,AROC,1236.0,0.155,191.58
2024-02-05,AROC,1236.0,0.165,203.94
2024-05-20,FTI,329.0,0.05,16.45
2024-06-03,NSSC,413.0,0.1,41.3
2024-06-14,HLNE,141.0,0.49,69.09
