date,equity,cash,n_positions
2022-01-03,100000.0,100000.0,0
2022-01-04,100000.0,100000.0,0
2022-01-05,99977.10057261652,91641.15039447015,1
2022-01-06,100138.08228843905,74994.92192428805,3
2022-01-07,99915.74929723721,66659.85930356961,4
2022-01-10,99604.21159067031,74166.7524804103,3
2022-01-11,99628.54199685928,74166.7524804103,3
2022-01-12,99584.940357358,65893.92071548179,4
2022-01-13,99378.38014236167,65893.92071548179,4
2022-01-14,100224.95950517037,57649.339124768754,5
2022-01-18,98936.75864228584,57649.339124768754,5
2022-01-19,98271.2155368756,65411.82543830383,4
2022-01-20,96942.08071535171,73242.65017335952,3
2022-01-21,96332.17817284318,80440.12804009172,2
2022-01-24,96278.27563965652,87843.17592347,1
2022-01-25,96175.97566330765,87843.17592347,1
2022-01-26,96017.67832467821,84575.0283355501,2
2022-01-27,95786.57832334307,84575.0283355501,2
2022-01-28,95871.97853753832,84575.0283355501,2
2022-01-31,95792.5285024431,84575.0283355501,2
2022-02-01,96165.07853696612,84575.0283355501,2
2022-02-02,96087.92855451372,84575.0283355501,2
2022-02-03,96125.82861135271,84575.0283355501,2
2022-02-04,96216.47861669329,84575.0283355501,2
2022-02-07,96139.52831933764,84575.0283355501,2
2022-02-08,96294.66766533701,87509.26761803476,1
2022-02-09,96102.46740517466,87509.26761803476,1
2022-02-10,96035.81735787241,87509.26761803476,1
2022-02-11,95888.56783089487,87509.26761803476,1
2022-02-14,95924.2177599415,87509.26761803476,1
2022-02-15,96221.81747612802,87509.26761803476,1
2022-02-16,96203.21764168589,87509.26761803476,1
2022-02-17,95869.96740517466,87509.26761803476,1
2022-02-18,96188.4781052827,84346.45796368114,2
2022-02-22,95878.23806927196,84346.45796368114,2
2022-02-23,96102.88822338573,84346.45796368114,2
2022-02-24,96184.72086912229,81072.43040853574,3
2022-02-25,96434.43368452061,74815.67339437474,5
2022-02-28,96902.53365907307,71647.07361802693,6
2022-03-01,96817.1236687624,71647.07361802693,6
2022-03-02,97729.86417207356,71647.07361802693,6
2022-03-03,97489.56380509968,71697.97361802692,6
2022-03-04,97720.17330407735,71697.97361802694,6
2022-03-07,97638.12384461996,71697.97361802694,6
2022-03-08,97498.54346131918,71697.97361802694,6
2022-03-09,97758.65362596151,71697.97361802694,6
2022-03-10,98093.4232315981,71697.97361802694,6
2022-03-11,97816.50356530782,71697.97361802694,6
2022-03-14,96879.48821848886,77774.12824267404,4
2022-03-15,96832.89795893685,77774.12824267404,4
2022-03-16,97109.48827570931,77774.12824267404,4
2022-03-17,97268.59873789804,77774.12824267404,4
2022-03-18,97185.02809542672,77774.12824267404,4
2022-03-21,96970.51518669841,64820.16504898784,6
2022-03-22,97260.82502022502,64820.16504898784,6
2022-03-23,96855.68498364207,64820.16504898784,6
2022-03-24,97687.23558655498,64820.16504898784,6
2022-03-25,98188.09530678508,64820.16504898784,6
2022-03-28,98027.24480667827,64820.16504898784,6
2022-03-29,98678.60515824077,64820.16504898784,6
2022-03-30,97744.53471127269,64820.16504898784,6
2022-03-31,97349.6350702357,64820.16504898784,6
2022-04-01,97322.89815653292,70622.73833025423,5
2022-04-04,97390.24892217283,64122.32870656614,6
2022-04-05,96666.02256105424,70300.02209661485,5
2022-04-06,96477.17659486491,63935.4060689326,6
2022-04-07,95872.30708558904,69906.67700631963,5
2022-04-08,96053.15937450188,73988.87960555809,4
2022-04-11,95905.3733514704,76546.58348025459,4
2022-04-12,95765.12484011421,79538.19470247993,3
2022-04-13,96169.15063303366,76371.9508039321,4
2022-04-14,96056.74030893698,76371.9508039321,4
2022-04-18,96247.76303513987,70027.86309464915,6
2022-04-19,96303.25302537424,70027.86309464915,6
2022-04-20,96500.0131266926,70027.86309464915,6
2022-04-21,95624.49334367258,70027.86309464915,6
2022-04-22,94722.73830634488,76099.97814208402,5
2022-04-25,94231.79259320801,87960.88264295166,2
2022-04-26,93847.29300619294,80064.3128616922,3
2022-04-27,93853.1052926732,83043.82524811753,2
2022-04-28,94157.76916957005,75304.96948695286,3
2022-04-29,94170.74916052922,75304.96948695286,3
2022-05-02,94090.23725418998,78277.52730851127,2
2022-05-03,94662.14750294639,78277.52730851127,2
2022-05-04,95418.79711918785,78277.52730851127,2
2022-05-05,94557.12498971306,86759.33481141411,1
2022-05-06,94157.6937971795,94157.6937971795,0
2022-05-09,94157.6937971795,94157.6937971795,0
2022-05-10,94157.6937971795,94157.6937971795,0
2022-05-11,94157.6937971795,94157.6937971795,0
2022-05-12,94157.6937971795,94157.6937971795,0
2022-05-13,94157.6937971795,94157.6937971795,0
2022-05-16,94157.6937971795,94157.6937971795,0
2022-05-17,94157.6937971795,94157.6937971795,0
2022-05-18,94157.6937971795,94157.6937971795,0
2022-05-19,94157.6937971795,94157.6937971795,0
2022-05-20,94157.6937971795,94157.6937971795,0
2022-05-23,94157.6937971795,94157.6937971795,0
2022-05-24,94157.6937971795,94157.6937971795,0
2022-05-25,94157.6937971795,94157.6937971795,0
2022-05-26,94157.6937971795,94157.6937971795,0
2022-05-27,94157.6937971795,94157.6937971795,0
2022-05-31,94157.6937971795,94157.6937971795,0
2022-06-01,94157.6937971795,94157.6937971795,0
2022-06-02,94157.6937971795,94157.6937971795,0
2022-06-03,94157.6937971795,94157.6937971795,0
2022-06-06,94157.6937971795,94157.6937971795,0
2022-06-07,94157.6937971795,94157.6937971795,0
2022-06-08,94157.6937971795,94157.6937971795,0
2022-06-09,94157.6937971795,94157.6937971795,0
2022-06-10,94157.6937971795,94157.6937971795,0
2022-06-13,94157.6937971795,94157.6937971795,0
2022-06-14,94157.6937971795,94157.6937971795,0
2022-06-15,94157.6937971795,94157.6937971795,0
2022-06-16,94157.6937971795,94157.6937971795,0
2022-06-17,94157.6937971795,94157.6937971795,0
2022-06-21,94157.6937971795,94157.6937971795,0
2022-06-22,94157.6937971795,94157.6937971795,0
2022-06-23,94157.6937971795,94157.6937971795,0
2022-06-24,94157.6937971795,94157.6937971795,0
2022-06-27,94157.6937971795,94157.6937971795,0
2022-06-28,94157.6937971795,94157.6937971795,0
2022-06-29,94157.6937971795,94157.6937971795,0
2022-06-30,94157.6937971795,94157.6937971795,0
2022-07-01,94157.6937971795,94157.6937971795,0
2022-07-05,94157.6937971795,94157.6937971795,0
2022-07-06,94157.6937971795,94157.6937971795,0
2022-07-07,94157.6937971795,94157.6937971795,0
2022-07-08,94157.6937971795,94157.6937971795,0
2022-07-11,94157.6937971795,94157.6937971795,0
2022-07-12,94157.6937971795,94157.6937971795,0
2022-07-13,94157.6937971795,94157.6937971795,0
2022-07-14,94157.6937971795,94157.6937971795,0
2022-07-15,94157.6937971795,94157.6937971795,0
2022-07-18,94157.6937971795,94157.6937971795,0
2022-07-19,94157.6937971795,94157.6937971795,0
2022-07-20,93914.13391989909,86281.89370841227,1
2022-07-21,93974.19353217326,86281.89370841227,1
2022-07-22,93900.27360266887,86281.89370841227,1
2022-07-25,93927.99335593425,86281.89370841227,1
2022-07-26,93749.2858359398,93749.2858359398,0
2022-07-27,93749.2858359398,93749.2858359398,0
2022-07-28,93749.2858359398,93749.2858359398,0
2022-07-29,93749.2858359398,93749.2858359398,0
2022-08-01,93749.2858359398,93749.2858359398,0
2022-08-02,93749.2858359398,93749.2858359398,0
2022-08-03,93749.2858359398,93749.2858359398,0
2022-08-04,93749.2858359398,93749.2858359398,0
2022-08-05,93749.2858359398,93749.2858359398,0
2022-08-08,93749.2858359398,93749.2858359398,0
2022-08-09,93749.2858359398,93749.2858359398,0
2022-08-10,93749.2858359398,93749.2858359398,0
2022-08-11,93749.2858359398,93749.2858359398,0
2022-08-12,93749.2858359398,93749.2858359398,0
2022-08-15,93749.2858359398,93749.2858359398,0
2022-08-16,93749.2858359398,93749.2858359398,0
2022-08-17,93749.2858359398,93749.2858359398,0
2022-08-18,93749.2858359398,93749.2858359398,0
2022-08-19,93749.2858359398,93749.2858359398,0
2022-08-22,93749.2858359398,93749.2858359398,0
2022-08-23,93735.95396161385,85856.75413251229,1
2022-08-24,94071.25402570076,85856.75413251229,1
2022-08-25,93991.45406842537,85856.75413251229,1
2022-08-26,93742.25423932381,85856.75413251229,1
2022-08-29,93835.35436749764,85856.75413251229,1
2022-08-30,93675.05430341072,85856.75413251229,1
2022-08-31,93705.15432477303,85856.75413251229,1
2022-09-01,93596.65411114998,85856.75413251229,1
2022-09-02,93555.35436749764,85856.75413251229,1
2022-09-06,93494.4541752369,85856.75413251229,1
2022-09-07,93710.30316884199,78138.12289387861,2
2022-09-08,93803.27180331742,70573.12169498001,3
2022-09-09,93725.88904144269,77674.76907302838,2
2022-09-12,94040.63054809388,71585.17057571228,3
2022-09-13,93660.0906082135,71585.17057571228,3
2022-09-14,94040.12058028992,71585.17057571228,3
2022-09-15,93830.47043762024,71585.17057571228,3
2022-09-16,93636.66050318655,78992.32021311697,2
2022-09-19,93783.22074870046,78992.32021311697,2
2022-09-20,93445.18026331838,78992.32021311697,2
2022-09-21,93349.03022746023,78992.32021311697,2
2022-09-22,93001.02102365441,84708.60073938317,1
2022-09-23,92762.97070779747,84708.60073938317,1
2022-09-26,92665.68045511193,84708.60073938317,1
2022-09-27,92620.14099206871,84708.60073938317,1
2022-09-28,92785.74083414025,84708.60073938317,1
2022-09-29,92644.08160680716,81620.31185811941,2
2022-09-30,92549.60884235219,84518.00900028065,1
2022-10-03,92694.50900028065,84518.00900028065,1
2022-10-04,93054.68934772328,84518.00900028065,1
2022-10-05,92984.54564973377,81428.03574296497,2
2022-10-06,92880.34130744025,78339.20155600592,3
2022-10-07,92847.81144217536,78339.20155600592,3
2022-10-10,92868.97100312088,89835.17101151322,1
2022-10-11,92874.47091919754,89835.17101151322,1
2022-10-12,93022.42105347489,89835.17101151322,1
2022-10-13,93144.52091080521,89835.17101151322,1
2022-10-14,93115.92109543656,89835.17101151322,1
2022-10-17,93170.37097794388,89835.17101151322,1
2022-10-18,93113.72104508255,89835.17101151322,1
2022-10-19,93172.57102829788,89835.17101151322,1
2022-10-20,93170.71181621302,83694.101981542,2
2022-10-21,93314.15174236048,83694.101981542,2
2022-10-24,93417.11205329646,83694.101981542,2
2022-10-25,93648.82686656702,83741.016981542,2
2022-10-26,93567.9771875738,83741.016981542,2
2022-10-27,93618.10383647471,77530.0041679719,3
2022-10-28,93781.95394557505,77530.0041679719,3
2022-10-31,93968.0356585841,71311.33594296977,4
2022-11-01,93213.18491340283,65075.86480403546,5
2022-11-02,92882.32503295544,65075.86480403546,5
2022-11-03,93336.99737749455,59050.58800564168,6
2022-11-04,92691.77696355374,64880.892031035735,5
2022-11-07,92974.64062103932,64380.08563027088,5
2022-11-08,92684.14777094766,65036.21304757043,5
2022-11-09,91783.3491261626,70911.70402080067,4
2022-11-10,92258.37215183627,63094.33272598636,5
2022-11-11,92429.20549783007,58268.04082879321,5
2022-11-14,92259.37900360348,50665.80428226711,6
2022-11-15,93446.70929497006,50691.40428226711,6
2022-11-16,92367.73946159604,50691.40428226711,6
2022-11-17,92513.90923626069,57880.339595147416,5
2022-11-18,92223.68372985984,59237.21827003624,5
2022-11-21,91797.23319027093,59237.21827003624,5
2022-11-22,92649.32605491794,53020.42583118594,6
2022-11-23,92163.77421899792,59765.63439126965,5
2022-11-25,92354.96440263744,59765.63439126965,5
2022-11-28,91433.68407007214,59765.63439126965,5
2022-11-29,91829.26390977856,59765.63439126965,5
2022-11-30,92074.56320978534,65605.92315126788,4
2022-12-01,91345.47890547654,55894.04940108202,5
2022-12-02,91058.9599742374,70503.65924257846,3
2022-12-05,90354.49594320115,76151.22611249742,2
2022-12-06,90205.42594732103,76151.22611249742,2
2022-12-07,90001.33612073716,76151.22611249742,2
2022-12-08,90029.75621045884,76151.22611249742,2
2022-12-09,89586.0456754094,76151.22611249742,2
2022-12-12,90135.94614984619,73156.37969781982,3
2022-12-13,90502.1567268573,73156.37969781982,3
2022-12-14,90503.49000893862,70129.71393357546,4
2022-12-15,89986.83765946658,70129.71393357546,4
2022-12-16,89666.61252875598,74334.20795913013,4
2022-12-19,89703.18728368594,68379.68287198855,6
2022-12-20,90319.54827230288,68379.68287198855,6
2022-12-21,90492.26122348252,75382.8204676384,5
2022-12-22,90122.04260444753,78223.90954017751,4
2022-12-23,90262.944299699,78223.90954017751,4
2022-12-27,90280.95087242239,78223.90954017751,4
2022-12-28,89926.16302108877,78223.90954017751,4
2022-12-29,90082.11837342293,81031.86661103279,3
2022-12-30,90009.98664048225,81031.86661103279,3
2023-01-03,89981.85834839851,81031.86661103279,3
2023-01-04,89862.54592784,83846.44563944888,2
2023-01-05,89769.34559519839,83846.44563944888,2
2023-01-06,90004.95382197452,83846.44563944888,2
2023-01-09,90040.68959315371,83846.44563944888,2
2023-01-10,89765.32724260872,86649.72726702278,1
2023-01-11,89782.92734026497,86649.72726702278,1
2023-01-12,89871.32730364388,86649.72726702278,1
2023-01-13,89889.32718157356,86649.72726702278,1
2023-01-17,89864.12729143685,86649.72726702278,1
2023-01-18,89769.72726702278,86649.72726702278,1
2023-01-19,89731.32730364388,86649.72726702278,1
2023-01-20,89782.52725481575,86649.72726702278,1
2023-01-23,89787.72714495247,86649.72726702278,1
2023-01-24,89813.72720598763,86649.72726702278,1
2023-01-25,89798.52731585091,86649.72726702278,1
2023-01-26,89824.12729143685,86649.72726702278,1
2023-01-27,89801.32730364388,86649.72726702278,1
2023-01-30,89776.5271937806,86649.72726702278,1
2023-01-31,89893.32712053841,86649.72726702278,1
2023-02-01,90007.26733189989,80821.98728734422,2
2023-02-02,90086.7798824966,78113.57980925441,2
2023-02-03,90030.01999480129,78113.57980925441,2
2023-02-06,89824.44982725978,78113.57980925441,2
2023-02-07,89560.74754394626,83603.48732055759,1
2023-02-08,89896.16213772516,76032.23189327936,2
2023-02-09,89504.8865501997,81686.23668600293,1
2023-02-10,89590.32646871777,81686.23668600293,1
2023-02-13,89722.93695760937,81686.23668600293,1
2023-02-14,89918.82214765302,74207.02199582806,2
2023-02-15,90136.31234006635,74207.02199582806,2
2023-02-16,89906.03199582806,74220.53199582806,2
2023-02-17,90252.22204786053,74220.53199582806,2
2023-02-21,89522.87506736095,67006.94450248058,3
2023-02-22,89360.394522317,67006.94450248058,3
2023-02-23,88494.7293053541,74112.20904549693,2
2023-02-24,88197.78952797984,74112.20904549693,2
2023-02-27,88278.82446161703,81303.94427362875,1
2023-02-28,88407.97560184184,76319.01551883403,2
2023-03-01,88295.01515262309,76319.01551883403,2
2023-03-02,88064.20294787132,81095.70294787132,1
2023-03-03,88065.74310900414,81095.70294787132,1
2023-03-06,88137.90308214867,81095.70294787132,1
2023-03-07,87969.82275988304,81095.70294787132,1
2023-03-08,87988.0831358596,81095.70294787132,1
2023-03-09,87866.11235126754,87866.11235126754,0
2023-03-10,87866.11235126754,87866.11235126754,0
2023-03-13,87866.11235126754,87866.11235126754,0
2023-03-14,87866.11235126754,87866.11235126754,0
2023-03-15,87866.11235126754,87866.11235126754,0
2023-03-16,87866.11235126754,87866.11235126754,0
2023-03-17,87866.11235126754,87866.11235126754,0
2023-03-20,87881.91551851449,84997.50546907602,1
2023-03-21,87952.65538667855,84997.50546907602,1
2023-03-22,87925.65538667855,84997.50546907602,1
2023-03-23,87952.38553499398,84997.50546907602,1
2023-03-24,87994.23541139779,84997.50546907602,1
2023-03-27,87979.65538667855,84997.50546907602,1
