date,ticker,side,shares,price,commission,slippage,raw_shares,raw_price,reason,order_level
2022-01-05,MTUS,BUY,467.0,17.8799991607666,2.335,6.5549974518465515,467.0,17.8799991607666,VCP_PIVOT_BREAKOUT,
2022-01-06,PLAB,BUY,438.0,18.950000762939453,2.19,6.589088653263915,438.0,18.950000762939453,VCP_PIVOT_BREAKOUT,
2022-01-06,PENG,BUY,270.0,30.854999542236328,1.0,5.499170957550444,135.0,61.709999084472656,VCP_PIVOT_BREAKOUT,
2022-01-07,HWC,BUY,155.0,53.72999954223633,1.0,5.912691671811483,155.0,53.72999954223633,VCP_PIVOT_BREAKOUT,
2022-01-10,MTUS,SELL,467.0,16.09199924468994,2.335,5.735470429508299,467.0,16.09199924468994,STOP_LOSS,16.09199924468994
2022-01-12,HGV,BUY,159.0,51.9900016784668,1.0,5.421498052302302,159.0,51.9900016784668,VCP_PIVOT_BREAKOUT,
2022-01-14,AMH,BUY,197.0,41.81999969482422,1.0,5.04165083265778,197.0,41.81999969482422,VCP_PIVOT_BREAKOUT,
2022-01-19,HGV,SELL,159.0,48.85889896392822,1.0,5.078621729511902,159.0,48.85889896392822,STOP_LOSS,48.85889896392822
2022-01-20,AMH,SELL,197.0,39.77969837188721,1.0,4.7758442060939075,197.0,39.77969837188721,STOP_LOSS,39.77969837188721
2022-01-21,PLAB,SELL,438.0,16.450000762939453,2.19,5.432467435283646,438.0,16.450000762939453,STOP_LOSS,17.05500068664551
2022-01-24,PENG,SELL,270.0,27.440000534057617,1.0,4.752260817265906,135.0,54.880001068115234,STOP_LOSS,27.769499588012696
2022-01-26,PR,BUY,390.0,8.369999885559082,1.95,1.8976325518523216,390.0,8.369999885559082,VCP_PIVOT_BREAKOUT,
2022-02-08,PR,SELL,390.0,7.532999897003174,1.95,1.6806773465786762,390.0,7.532999897003174,STOP_LOSS,7.532999897003174
2022-02-18,AR,BUY,154.0,20.520000457763672,1.0,1.729583858015094,154.0,20.520000457763672,VCP_PIVOT_BREAKOUT,
2022-02-24,RRC,BUY,141.0,23.200000762939453,1.0,1.8274475709350768,141.0,23.200000762939453,VCP_PIVOT_BREAKOUT,
2022-02-25,SM,BUY,92.0,33.029998779296875,1.0,1.7040802072091101,92.0,33.029998779296875,VCP_PIVOT_BREAKOUT,
2022-02-25,PR,BUY,386.0,8.319999694824219,1.93,1.8431640563321925,386.0,8.319999694824219,VCP_PIVOT_BREAKOUT,
2022-02-28,APLE,BUY,181.0,17.489999771118164,1.0,1.9098177754133452,181.0,17.489999771118164,VCP_PIVOT_BREAKOUT,
2022-03-14,PR,SELL,386.0,7.487999725341796,1.93,1.6234741991053647,386.0,7.487999725341796,STOP_LOSS,7.487999725341797
2022-03-14,SM,SELL,92.0,34.69699974060058,1.0,1.7837712709936073,92.0,34.69699974060058,TRAILING_STOP,34.69699974060058
2022-03-21,ACLS,BUY,80.0,80.52999877929688,1.0,4.120266216923109,80.0,80.52999877929688,VCP_PIVOT_BREAKOUT,
2022-03-21,EXTR,BUY,505.0,12.869999885559082,2.525,4.568082918186708,505.0,12.869999885559082,VCP_PIVOT_BREAKOUT,
