ticker,action,date_or_period,category,confidence,source_url,in_index_universe,in_wider_universe,price_data,check_day,trend_template,rs_pct,fundamentals,breakout_signal,regime_open,passes_all,our_candidate_within_30d,our_trade_within_30d
ANF,BUY,2021-01-04,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,True,True,True,2020-12-17,True,69.4,FAIL,False,True,False,,
GM,BUY,2021-01-11,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
STAA,BUY,2021-01-12,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,True,True,True,2020-12-28,True,94.8,FAIL,False,True,False,exp3a_B2_2017_21:2021-01-26; exp3a_B3_2017_21:2021-01-26,exp3a_B2_2017_21:2021-01-27:-10%; exp3a_B3_2017_21:2021-01-27:-10%
NNOX,BUY,2021-01-20,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
MP,BUY,2021-02-09,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,True,True,True,2021-02-16,False,,SKIP,True,True,False,,
UAVS,BUY,2021-02-09,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
DLTH,DISCUSSED,2021-04,discussed,low,https://seekingalpha.com/article/4421495-stock-trader-mark-minervini-and-market-strategist-ben-laidler-join-alpha-trader,False,False,False,,,,,,,,,
PYPL,DISCUSSED,2021-04,discussed,low,https://seekingalpha.com/article/4421495-stock-trader-mark-minervini-and-market-strategist-ben-laidler-join-alpha-trader,False,False,False,,,,,,,,,
YETI,DISCUSSED,2021-04,discussed,low,https://seekingalpha.com/article/4421495-stock-trader-mark-minervini-and-market-strategist-ben-laidler-join-alpha-trader,True,True,True,2021-03-31,True,92.5,PASS,False,True,False,,
GBOX,BUY,2021-04-05,own_trade,high,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,False,False,False,,,,,,,,,
