ticker,company,action,date_or_period,date_precision,category,source_url,source_type,quote_or_evidence,confidence
ANF,Abercrombie & Fitch,BUY,2021-01-04,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): ANF entry 2021-01-04. Exit not published.,high
GM,General Motors,BUY,2021-01-11,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): GM entry 2021-01-11. Exit not published.,high
STAA,STAAR Surgical,BUY,2021-01-12,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): STAA entry 2021-01-12. Exit not published.,high
NNOX,Nano-X Imaging,BUY,2021-01-20,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): NNOX entry 2021-01-20. Exit not published.,high
MP,MP Materials,BUY,2021-02-09,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): MP entry 2021-02-09. Exit not published.,high
UAVS,AgEagle Aerial Systems,BUY,2021-02-09,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): UAVS entry 2021-02-09. Exit not published.,high
DLTH,Duluth Holdings,DISCUSSED,2021-04,month,discussed,https://seekingalpha.com/article/4421495-stock-trader-mark-minervini-and-market-strategist-ben-laidler-join-alpha-trader,interview,"Alpha Trader podcast (Apr 2021): named as setups he was seeing; page 403, known only from search snippet",low
PYPL,PayPal,DISCUSSED,2021-04,month,discussed,https://seekingalpha.com/article/4421495-stock-trader-mark-minervini-and-market-strategist-ben-laidler-join-alpha-trader,interview,"Alpha Trader podcast (Apr 2021): named as setups he was seeing; page 403, known only from search snippet",low
YETI,YETI Holdings,DISCUSSED,2021-04,month,discussed,https://seekingalpha.com/article/4421495-stock-trader-mark-minervini-and-market-strategist-ben-laidler-join-alpha-trader,interview,"Alpha Trader podcast (Apr 2021): named as setups he was seeing; page 403, known only from search snippet",low
GBOX,Greenbox POS,BUY,2021-04-05,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): GBOX entry 2021-04-05. Exit not published.,high
YETI,YETI Holdings,BUY,2021-04-06,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): YETI entry 2021-04-06. Exit not published.,high
ZIM,ZIM Integrated Shipping,BUY,2021-04-08,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): ZIM entry 2021-04-08. Exit not published.,high
REVG,REV Group,DISCUSSED,2021-04-15,exact,discussed,https://x.com/markminervini/status/1382710309635362816,other,Easy money in high-RS momentum names has gotten difficult. Example: $REVG today.,high
UPST,Upstart,DISCUSSED,2021-05-03,exact,discussed,https://x.com/markminervini/status/1389270162407362560,other,$UPST - turning up today - this is my idea of bottom fishing.,high
BNTX,BioNTech,BUY,2021-06-02,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): BNTX entry 2021-06-02. Exit not published.,high
HSKA,Heska,BUY,2021-06-04,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): HSKA entry 2021-06-04. Exit not published.,high
TSP,TuSimple,BUY,2021-06-08,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): TSP entry 2021-06-08. Exit not published.,high
PYPL,PayPal,BUY,2021-06-09,exact,own_trade,https://caseystubbs.substack.com/p/how-mark-minervini-won-the-us-investing,article,"Blog shows PYPL entry June 9, 2021 as a Minervini 2021 trade example; not on the 21-name published list",low
AAPL,Apple,BUY,2021-06-17,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): AAPL entry 2021-06-17. Exit not published.,high
MRNA,Moderna,BUY,2021-06-25,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): MRNA entry 2021-06-25. Exit not published.,high
SKY,Skyline Champion,BUY,2021-07-30,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): SKY entry 2021-07-30. Exit not published.,high
SE,Sea Ltd,BUY,2021-08,month,own_trade,https://www.benzinga.com/news/21/08/22486960/hearing-sea-named-new-swing-ling-idea-from-trader-mark-minervini-unconfirmed,article,Benzinga hearing-headline: Sea named new swing long idea from Minervini; unconfirmed,low
SNAP,Snap,BUY,2021-08,month,own_trade,https://www.benzinga.com/news/21/08/22746288/why-snap-shares-are-rising,article,Benzinga: shares up after Minervini reportedly named stock a new long idea,low
SQ,Block (Square),BUY,2021-08,month,own_trade,https://www.benzinga.com/news/21/08/22350943/square-shares-spike-to-session-high-now-up-2-hearing-tradernewsletter-provider-mark-minervini-issues,article,Benzinga hearing-headline: Minervini issues alert to buy the stock,medium
SQ,Block (Square),DISCUSSED,2021-08-05,exact,discussed,https://x.com/markminervini/status/1423324225495085060,other,$SQ is a perfect VCP with a huge volume breakout on 8/2 and a follow up buy point today,high
