ticker,action,date,in_sp500,check_day,trend_template,rs_pct_vs_sp1500,fundamentals_strict,fund_reason,fund_score_0_4,breakout_50d_high,passes_strict,passes_rank_only,note
GM,BUY,2021-01-11,True,2021-01-13,True,71.2,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,True,False,True,
NNOX,BUY,2021-01-20,False,,,,,,,,,,no/short price history
UAVS,BUY,2021-02-09,False,2021-02-10,True,91.2,FAIL,"Q1=PASS, Q2=FAIL, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",3.0,True,False,True,
GBOX,BUY,2021-04-05,False,,,,,,,,,,no/short price history
ZIM,BUY,2021-04-08,False,,,,,,,,,,no/short price history
BNTX,BUY,2021-06-02,False,2021-06-07,True,91.3,SKIP,NO_FUNDAMENTALS,0.0,True,False,True,
HSKA,BUY,2021-06-04,False,,,,,,,,,,no/short price history
TSP,BUY,2021-06-08,False,,,,,,,,,,no/short price history
PYPL,BUY,2021-06-09,True,2021-06-08,True,71.2,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",4.0,False,True,True,
AAPL,BUY,2021-06-17,True,2021-06-14,True,48.2,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",4.0,False,False,False,
MRNA,BUY,2021-06-25,True,2021-06-11,True,90.0,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,False,False,True,
SE,BUY,2021-08,False,2021-08-05,True,83.1,SKIP,NO_FUNDAMENTALS,0.0,True,False,True,
SNAP,BUY,2021-08,False,2021-08-02,True,90.0,FAIL,Q1 FAIL: current EPS -0.1 is a loss,0.0,False,False,True,
SQ,BUY,2021-08,False,,,,,,,,,,no/short price history
NUE,BUY,2021-08-09,True,2021-08-10,True,88.2,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,True,False,True,
TSLA,BUY,2021-09-24,True,2021-09-17,False,74.1,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",4.0,True,False,False,
AIG,BUY,2021-10,True,2021-10-01,True,79.1,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,False,False,True,
RVLV,BUY,2021-10,False,2021-10-29,True,91.3,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",4.0,True,True,True,
UPST,BUY,2021-10-12,False,,,,,,,,,,no/short price history
SCHW,BUY,2021-10-15,True,2021-10-15,True,84.7,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,True,False,True,
ASYS,BUY,2021-10-26,False,2021-10-28,True,89.6,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,True,False,True,
AAPL,HOLD,2021-11,True,2021-11-18,True,47.4,PASS,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=PASS [BREAKOUT_YEAR]",4.0,True,False,False,
NUE,BUY,2021-11,True,2021-11-22,True,88.5,FAIL,"Q1=PASS, Q2=FAIL, Q3=PASS, Q4=FAIL",2.0,True,False,True,
CARR,BUY,2021-12,True,2021-12-02,True,72.3,FAIL,Q1 FAIL: EPS growth -36.9% < 20%,0.0,False,False,True,
SRTS,BUY,2021-12,False,2021-12-07,True,89.8,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,True,False,True,
YELL,BUY,2021-12,False,,,,,,,,,,no/short price history
NVDA,BUY,2024-01,True,2024-01-08,True,96.3,FAIL,"Q1=PASS, Q2=PASS, Q3=PASS, Q4=FAIL",3.0,True,False,True,
