tag,start,end,rs_threshold,breakout_volume,stop_max_pct,max_positions,trades,sharpe,cagr,max_dd,total_return,win_rate,wl_ratio,exposure,audit_passed,run_id,error
full,2022-01-03,2024-06-28,70,1.2,0.06,4,109,0.10997877656095519,0.00558469613129442,-0.0830721964404042,0.013925577724690719,0.3211009174311927,2.143769451314694,0.2980833913530226,True,full_rs_70_bre1.2_sto0.06_max4,
full,2022-01-03,2024-06-28,70,1.2,0.06,6,149,-0.2638502457282603,-0.019207068804527827,-0.1038847779417511,-0.047018301250008276,0.3087248322147651,1.9444851607075155,0.2566517627062278,True,full_rs_70_bre1.2_sto0.06_max6,
full,2022-01-03,2024-06-28,70,1.2,0.06,8,172,-0.317483578465414,-0.02072998705073159,-0.10942398713461943,-0.050688593246123737,0.3081395348837209,1.9610893003591927,0.22939546765104288,True,full_rs_70_bre1.2_sto0.06_max8,
full,2022-01-03,2024-06-28,70,1.2,0.06,12,192,-0.21779843110772235,-0.012309181540870684,-0.07958548760622008,-0.030288059110208376,0.3072916666666667,1.9781341857599473,0.20039506785094074,True,full_rs_70_bre1.2_sto0.06_max12,
full,2022-01-03,2024-06-28,70,1.2,0.08,4,97,0.4457700569302554,0.03904451831291533,-0.11303914635857526,0.09978158881348431,0.35051546391752575,2.186404522456459,0.31262498276334333,True,full_rs_70_bre1.2_sto0.08_max4,
full,2022-01-03,2024-06-28,70,1.2,0.08,6,132,0.06664162268240216,0.0022143094000073305,-0.08205287512521442,0.005507673901459675,0.32575757575757575,2.0927802013064216,0.2629597958621054,True,full_rs_70_bre1.2_sto0.08_max6,
full,2022-01-03,2024-06-28,70,1.2,0.08,8,153,0.007448005918591539,-0.0016910547393665931,-0.10449244637415989,-0.004194014051319583,0.3137254901960784,2.089819715611732,0.24179088765444645,True,full_rs_70_bre1.2_sto0.08_max8,
full,2022-01-03,2024-06-28,70,1.2,0.08,12,182,-0.21345220391745373,-0.012556077374317298,-0.08012754155207324,-0.030889886619054785,0.3241758241758242,1.902761974279822,0.20694732456999682,True,full_rs_70_bre1.2_sto0.08_max12,
full,2022-01-03,2024-06-28,70,1.2,0.1,4,93,0.5364290648703349,0.0495609516325366,-0.0836917707613749,0.12763066330546713,0.3655913978494624,2.173039793782951,0.33566691399236076,True,full_rs_70_bre1.2_sto0.1_max4,
full,2022-01-03,2024-06-28,70,1.2,0.1,6,130,0.09630807591189115,0.004347909386308357,-0.08216138804378992,0.010831700505399056,0.33076923076923076,2.0545786006696463,0.26664367623147744,True,full_rs_70_bre1.2_sto0.1_max6,
full,2022-01-03,2024-06-28,70,1.2,0.1,8,151,-0.16484207881271173,-0.014852693318204935,-0.11097297019260677,-0.03647737532651296,0.31125827814569534,2.0078251430179885,0.26067885321605855,True,full_rs_70_bre1.2_sto0.1_max8,
full,2022-01-03,2024-06-28,70,1.2,0.1,12,184,-0.2265578911922008,-0.013130539934327112,-0.08450384519873289,-0.03228931951380554,0.32065217391304346,1.8649850515822464,0.20209829851601804,True,full_rs_70_bre1.2_sto0.1_max12,
full,2022-01-03,2024-06-28,70,1.4,0.06,4,91,-0.17179001313672726,-0.014358050839293868,-0.08834375058491017,-0.035275578884261805,0.2857142857142857,2.241285975860008,0.23638117960011668,True,full_rs_70_bre1.4_sto0.06_max4,
full,2022-01-03,2024-06-28,70,1.4,0.06,6,117,-0.21947037139317682,-0.016205964096520198,-0.10856092159253183,-0.03976074626213211,0.29914529914529914,2.083940865374174,0.22804858681051907,True,full_rs_70_bre1.4_sto0.06_max6,
full,2022-01-03,2024-06-28,70,1.4,0.06,8,147,-0.5407094708955991,-0.03249434565274578,-0.11469970428828946,-0.0787566611946563,0.2857142857142857,1.920665096507625,0.20269039008960532,True,full_rs_70_bre1.4_sto0.06_max8,
full,2022-01-03,2024-06-28,70,1.4,0.06,12,158,-0.42834853567319453,-0.020647854654018305,-0.08122995379611009,-0.05049086677529491,0.2911392405063291,1.9305103330543638,0.16093290432340304,True,full_rs_70_bre1.4_sto0.06_max12,
full,2022-01-03,2024-06-28,70,1.4,0.08,4,90,-0.23567920432003517,-0.018869600948709597,-0.09663524716519178,-0.046203845450988434,0.28888888888888886,2.153179862890828,0.2374890670182157,True,full_rs_70_bre1.4_sto0.08_max4,
full,2022-01-03,2024-06-28,70,1.4,0.08,6,106,-0.03410663546976047,-0.006856768405746783,-0.11469021907020971,-0.016940449856427175,0.3018867924528302,2.231427736266486,0.34442038886033377,True,full_rs_70_bre1.4_sto0.08_max6,
full,2022-01-03,2024-06-28,70,1.4,0.08,8,145,-0.526844681185198,-0.03159166816487258,-0.12200524882785324,-0.07662081014529798,0.2896551724137931,1.8580549116477894,0.2032018897494471,True,full_rs_70_bre1.4_sto0.08_max8,
full,2022-01-03,2024-06-28,70,1.4,0.08,12,155,-0.2885883333410655,-0.014919509880384152,-0.08508306310721447,-0.03663964601794567,0.2903225806451613,1.8588650017987736,0.16965312208130276,True,full_rs_70_bre1.4_sto0.08_max12,
full,2022-01-03,2024-06-28,70,1.4,0.1,4,88,-0.05045027577185659,-0.0075529092286926724,-0.1264010215399206,-0.01865068690544558,0.29545454545454547,2.126777391730095,0.28501833786513436,True,full_rs_70_bre1.4_sto0.1_max4,
full,2022-01-03,2024-06-28,70,1.4,0.1,6,101,0.7258517866345569,0.07191446259077083,-0.12119710125134786,0.18821371551061228,0.31683168316831684,2.1328498408045227,0.3986807134052633,True,full_rs_70_bre1.4_sto0.1_max6,
full,2022-01-03,2024-06-28,70,1.4,0.1,8,128,-0.13541918226394353,-0.009885707341285244,-0.08943038116751711,-0.024368803937627193,0.3203125,1.8742146234440051,0.22693284469304295,True,full_rs_70_bre1.4_sto0.1_max8,
full,2022-01-03,2024-06-28,70,1.4,0.1,12,144,-0.10107754045464135,-0.006923380998664408,-0.07559648417546827,-0.017104176642938396,0.3194444444444444,1.9438974102431792,0.196778849329173,True,full_rs_70_bre1.4_sto0.1_max12,
full,2022-01-03,2024-06-28,70,1.6,0.06,4,75,-0.24644663211930987,-0.020155051561463022,-0.10126131013706474,-0.049303970394581564,0.28,2.269809832890314,0.23387882344758779,True,full_rs_70_bre1.6_sto0.06_max4,
full,2022-01-03,2024-06-28,70,1.6,0.06,6,101,-0.5037018540126571,-0.028526200075237762,-0.10363102645984157,-0.06934545356177046,0.2871287128712871,2.0993752109302655,0.1913564628456584,True,full_rs_70_bre1.6_sto0.06_max6,
full,2022-01-03,2024-06-28,70,1.6,0.06,8,114,-0.13160079737613362,-0.009148370227797353,-0.07401723032506335,-0.02256361226906356,0.30701754385964913,2.0849378619317016,0.2017184512186875,True,full_rs_70_bre1.6_sto0.06_max8,
full,2022-01-03,2024-06-28,70,1.6,0.06,12,121,-0.1403541060349934,-0.006337161312967243,-0.05188753619441522,-0.015662750828827954,0.30578512396694213,2.03186747473501,0.1375261722075817,True,full_rs_70_bre1.6_sto0.06_max12,
full,2022-01-03,2024-06-28,70,1.6,0.08,4,75,-0.04361006721909031,-0.006854803321894476,-0.11801442099212223,-0.016935619638492883,0.29333333333333333,2.17848356623806,0.2466433263217094,True,full_rs_70_bre1.6_sto0.08_max4,
full,2022-01-03,2024-06-28,70,1.6,0.08,6,94,0.26228881326858844,0.01850285760927317,-0.11013093106959948,0.04657922099156586,0.30851063829787234,2.108039850363587,0.292734071820965,True,full_rs_70_bre1.6_sto0.08_max6,
full,2022-01-03,2024-06-28,70,1.6,0.08,8,110,0.3500704112278419,0.02459934379194384,-0.07927396332436198,0.0622046509567733,0.32727272727272727,2.1116750404735427,0.2917606369327637,True,full_rs_70_bre1.6_sto0.08_max8,
full,2022-01-03,2024-06-28,70,1.6,0.08,12,121,-0.329248755561691,-0.014818922217678776,-0.055505859756198594,-0.03639535262684168,0.30578512396694213,1.9129934079987874,0.14421691536343062,True,full_rs_70_bre1.6_sto0.08_max12,
full,2022-01-03,2024-06-28,70,1.6,0.1,4,73,-0.21722840449853562,-0.02181097872219373,-0.13452585982604415,-0.05328869315524076,0.3013698630136986,1.966874467459091,0.2496698413394719,True,full_rs_70_bre1.6_sto0.1_max4,
full,2022-01-03,2024-06-28,70,1.6,0.1,6,94,0.017923527701691325,-0.0022713390070802086,-0.12331107156262067,-0.005630761358369596,0.30851063829787234,1.958812241308835,0.29699557023478196,True,full_rs_70_bre1.6_sto0.1_max6,
full,2022-01-03,2024-06-28,70,1.6,0.1,8,109,0.14232089444687185,0.008336773460442704,-0.08609700121803943,0.02083029782362389,0.3302752293577982,1.959242254796934,0.29755320582129857,True,full_rs_70_bre1.6_sto0.1_max8,
full,2022-01-03,2024-06-28,70,1.6,0.1,12,120,-0.37833625158053247,-0.018387496955452165,-0.06024727438935207,-0.04503959913547606,0.31666666666666665,1.8301977827699663,0.14667233962451617,True,full_rs_70_bre1.6_sto0.1_max12,
full,2022-01-03,2024-06-28,80,1.2,0.06,4,111,-0.2748627736822906,-0.03026955121555097,-0.16371644384276474,-0.07348717742790434,0.2972972972972973,1.9308108593020705,0.32186988848364684,True,full_rs_80_bre1.2_sto0.06_max4,
full,2022-01-03,2024-06-28,80,1.2,0.06,6,146,-0.1973029739119268,-0.014920706656181504,-0.10902617967841799,-0.03664255235862435,0.3082191780821918,2.037291213259751,0.2193907438868113,True,full_rs_80_bre1.2_sto0.06_max6,
full,2022-01-03,2024-06-28,80,1.2,0.06,8,162,-0.47406035649771716,-0.030469916115474338,-0.10961191139227999,-0.07396248261890515,0.2962962962962963,2.0119084001985073,0.22080733664199426,True,full_rs_80_bre1.2_sto0.06_max8,
full,2022-01-03,2024-06-28,80,1.2,0.06,12,170,-0.25442913813508394,-0.013581153471246,-0.0786396864336345,-0.033386201850911124,0.3,1.9975680530408282,0.1657230675744233,True,full_rs_80_bre1.2_sto0.06_max12,
full,2022-01-03,2024-06-28,80,1.2,0.08,4,97,-0.32505542469265236,-0.028289905230361567,-0.1194235129032285,-0.06878323257021479,0.28865979381443296,2.157776794415437,0.2732899707837815,True,full_rs_80_bre1.2_sto0.08_max4,
full,2022-01-03,2024-06-28,80,1.2,0.08,6,127,0.10440925434446514,0.004747532773538898,-0.08082836065194521,0.011830758673878838,0.33070866141732286,2.1368727956306937,0.22734965741757915,True,full_rs_80_bre1.2_sto0.08_max6,
full,2022-01-03,2024-06-28,80,1.2,0.08,8,145,-0.3432799859843274,-0.023727788696412233,-0.09533298775779642,-0.057888710960816825,0.2896551724137931,2.1239536730465103,0.2211770980827403,True,full_rs_80_bre1.2_sto0.08_max8,
