ticker,price_rows,price_flag,financials_status,balance_sheet_status,quarterly_status,error
COMI.CA,491,good,populated,populated,populated,
SWDY.CA,491,good,populated,populated,populated,
TMGH.CA,491,good,populated,populated,populated,
ETEL.CA,491,good,populated,populated,populated,
EGAL.CA,491,good,populated,populated,populated,
QNBE.CA,0,empty,empty,empty,empty,
MFPC.CA,491,good,populated,populated,populated,
EAST.CA,491,good,populated,populated,populated,
HDBK.CA,492,good,populated,populated,populated,
ABUK.CA,491,good,populated,populated,populated,
ALCN.CA,491,good,populated,populated,populated,
EFIH.CA,491,good,populated,populated,populated,
ORAS.CA,494,good,populated,populated,populated,
ADIB.CA,492,good,populated,populated,populated,
FWRY.CA,491,good,populated,populated,populated,
EMFD.CA,491,good,populated,populated,populated,
SCTS.CA,491,good,populated,populated,populated,
ORHD.CA,491,good,populated,populated,populated,
EFID.CA,491,good,populated,populated,populated,
PHDC.CA,491,good,populated,populated,populated,
OCDI.CA,491,good,populated,populated,populated,
VLMR.CA,0,empty,empty,empty,empty,
VLMRA.CA,0,empty,empty,empty,empty,
CANA.CA,491,good,populated,populated,populated,
GPPL.CA,494,good,empty,empty,empty,
JUFO.CA,491,good,populated,populated,populated,
HRHO.CA,491,good,populated,populated,populated,
BIOC.CA,491,good,empty,empty,empty,
BTFH.CA,491,good,populated,populated,populated,
GBCO.CA,491,good,populated,populated,populated,
IRON.CA,491,good,empty,empty,empty,
HELI.CA,491,good,populated,populated,populated,
FERC.CA,491,good,populated,populated,populated,
CIEB.CA,491,good,populated,populated,populated,
FAIT.CA,491,good,populated,populated,populated,
FAITA.CA,491,good,populated,populated,populated,
RAYA.CA,491,good,populated,populated,populated,
EXPA.CA,491,good,populated,populated,populated,
EGCH.CA,491,good,empty,empty,empty,
ARCC.CA,491,good,populated,populated,populated,
SCEM.CA,491,good,populated,populated,empty,
CLHO.CA,491,good,populated,populated,populated,
VALU.CA,0,empty,empty,empty,empty,
CCAP.CA,491,good,populated,populated,populated,
PHAR.CA,491,good,populated,populated,populated,
CIRA.CA,491,good,populated,populated,populated,
EFIC.CA,491,good,populated,populated,populated,
MCQE.CA,491,good,populated,populated,populated,
SKPC.CA,491,good,populated,populated,populated,
TAQA.CA,0,empty,empty,empty,empty,
MBSC.CA,491,good,populated,populated,empty,
MTIE.CA,492,good,populated,populated,populated,
AMES.CA,491,good,empty,empty,empty,
POUL.CA,491,good,populated,populated,populated,
SAUD.CA,491,good,populated,populated,populated,
EGTS.CA,491,good,populated,populated,populated,
ORWE.CA,491,good,populated,populated,populated,
NIPH.CA,491,good,populated,populated,populated,
EGSA.CA,492,good,populated,populated,populated,
MASR.CA,491,good,populated,populated,populated,
UBEE.CA,0,empty,empty,empty,empty,
MOIL.CA,491,good,populated,populated,populated,
AMOC.CA,491,good,populated,populated,populated,
EGBE.CA,493,good,populated,populated,populated,
MHOT.CA,492,good,populated,populated,populated,
TALM.CA,491,good,populated,populated,populated,
ATQA.CA,491,good,populated,populated,populated,
ISPH.CA,491,good,populated,populated,populated,
RMDA.CA,491,good,populated,populated,populated,
CSAG.CA,491,good,populated,populated,empty,
CICH.CA,491,good,populated,populated,populated,
BINV.CA,491,good,populated,populated,populated,
IFAP.CA,491,good,empty,empty,empty,
OIH.CA,491,good,populated,populated,populated,
MPRC.CA,491,good,populated,populated,populated,
OLFI.CA,491,good,populated,populated,populated,
PRDC.CA,491,good,empty,empty,empty,
MIPH.CA,491,good,populated,populated,populated,
MOIN.CA,491,good,empty,empty,empty,
ISMQ.CA,491,good,empty,empty,empty,
PHTV.CA,491,good,empty,empty,empty,
BONY.CA,0,empty,empty,empty,empty,
MPCI.CA,491,good,empty,empty,empty,
EGAS.CA,491,good,populated,populated,populated,
SPHT.CA,494,good,populated,populated,empty,
AMIA.CA,491,good,empty,empty,empty,
DOMT.CA,491,good,populated,populated,populated,
CPCI.CA,491,good,empty,empty,empty,
ZMID.CA,491,good,populated,populated,populated,
KORA.CA,0,empty,empty,empty,empty,
AFMC.CA,491,good,empty,empty,empty,
SUGR.CA,491,good,empty,empty,empty,
AXPH.CA,491,good,empty,empty,empty,
ELEC.CA,491,good,empty,empty,empty,
SPIN.CA,491,good,empty,empty,empty,
ACAP.CA,0,empty,empty,empty,empty,
ENGC.CA,491,good,populated,populated,populated,
NINH.CA,492,good,empty,empty,empty,
NAPR.CA,0,empty,empty,empty,empty,
GOUR.CA,0,empty,empty,empty,empty,
OCPH.CA,491,good,empty,empty,empty,
CNFN.CA,491,good,populated,populated,populated,
ARAB.CA,492,good,populated,populated,populated,
MICH.CA,491,good,populated,populated,populated,
AMER.CA,491,good,populated,populated,populated,
DSCW.CA,491,good,populated,populated,populated,
KABO.CA,491,good,empty,empty,empty,
SVCE.CA,491,good,populated,populated,populated,
GSSC.CA,491,good,populated,populated,populated,
WCDF.CA,491,good,empty,empty,empty,
MFSC.CA,491,good,empty,empty,empty,
UNIT.CA,491,good,empty,empty,empty,
KZPC.CA,491,good,empty,empty,empty,
GDWA.CA,491,good,empty,empty,empty,
OFH.CA,491,good,populated,populated,empty,
ACGC.CA,491,good,populated,populated,populated,
AJWA.CA,491,good,empty,empty,empty,
UEFM.CA,491,good,empty,empty,empty,
CRST.CA,0,empty,empty,empty,empty,
SDTI.CA,491,good,empty,empty,empty,
SAIB.CA,494,good,populated,populated,populated,
ADCI.CA,491,good,empty,empty,empty,
ISMA.CA,491,good,empty,empty,empty,
INFI.CA,491,good,empty,empty,empty,
ELKA.CA,491,good,empty,empty,empty,
ASCM.CA,491,good,populated,populated,populated,
ACTF.CA,0,empty,empty,empty,empty,
ELSH.CA,491,good,empty,empty,empty,
NAHO.CA,491,good,populated,populated,populated,
ZEOT.CA,491,good,empty,empty,empty,
LCSW.CA,492,good,populated,populated,populated,
GTWL.CA,491,good,empty,empty,empty,
CFGH.CA,491,good,populated,populated,populated,
ALRA.CA,0,empty,empty,empty,empty,
DAPH.CA,491,good,empty,empty,empty,
ACAMD.CA,491,good,empty,empty,empty,
SMFR.CA,491,good,empty,empty,empty,
ETRS.CA,491,good,empty,empty,empty,
EDFM.CA,491,good,empty,empty,empty,
MILS.CA,491,good,empty,empty,empty,
LUTS.CA,493,good,empty,empty,empty,
MPCO.CA,491,good,empty,empty,empty,
CEFM.CA,491,good,empty,empty,empty,
NARE.CA,0,empty,empty,empty,empty,
PHGC.CA,0,empty,empty,empty,empty,
ATLC.CA,491,good,empty,empty,empty,
