ticker,cik,fy_end,fy_10k_accn,fy_10k_filed,restated_fields,n_restated_items,restated_detail,direct_q4_eps,direct_q4_net_income,direct_q4_revenue,eps_concept,net_income_concept,revenue_concept,press_release_q4_eps,stored_q4_eps,stored_q4_net_income,stored_q4_revenue,match_eps,match_net_income,match_revenue,in_store,bucket,bucket_store_final_2
AAL,6201,2018-12-31,0000006201-19-000009,2019-02-25,"eps,net_income",6,net_income 2018-03-31: 10-Q 1.86e+08 -> 10-K 1.59e+08; net_income 2018-06-30: 10-Q 5.66e+08 -> 10-K 5.56e+08; net_income 2018-09-30: 10-Q 3.41e+08 -> 10-K 3.72e+08; eps 2018-03-31: 10-Q 0.39 -> 10-K 0.34; eps 2018-06-30: 10-Q 1.22 -> 10-K 1.2; eps 2018-09-30: 10-Q 0.74 -> 10-K 0.81,0.7,325000000.0,10938000000.0,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.7,325000000.0,10938000000.0,yes,yes,yes,True,ok,ok
AAMI,1748824,2018-12-31,0001748824-20-000008,2020-03-02,net_income,1,net_income 2018-06-30: 10-Q 2.1e+06 -> 10-K 2.5e+06,0.22,18800000.0,214500000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,,,,stored_missing,stored_missing,stored_missing,False,q4_row_not_in_store,q4_row_not_in_store
AAMI,1748824,2019-12-31,0001748824-20-000008,2020-03-02,net_income,2,net_income 2019-06-30: 10-Q 2.8e+07 -> 10-K 2.16e+07; net_income 2019-09-30: 10-Q 7.54e+07 -> 10-K 8.3e+07,0.79,74300000.0,207400000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.79,67800000.0,207400000.0,yes,no,yes,True,"NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)","NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)"
AAMI,1748824,2021-12-31,0001748824-22-000018,2022-02-28,revenue,1,revenue 2021-03-31: 10-Q 1.312e+08 -> 10-K 1.097e+08,0.53,,162900000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.53,39200000.0,162900000.0,yes,n/a,yes,True,ok,ok
AAON,824142,2019-12-31,0000824142-20-000025,2020-02-27,"eps,net_income",4,net_income 2019-03-31: 10-Q 1.0902e+07 -> 10-K 8.757e+06; net_income 2019-06-30: 10-Q 1.2961e+07 -> 10-K 1.3391e+07; net_income 2019-09-30: 10-Q 1.3827e+07 -> 10-K 1.429e+07; eps 2019-03-31: 10-Q 0.21 -> 10-K 0.17,0.33,17273000.0,,EarningsPerShareDiluted,NetIncomeLoss,SalesRevenueGoodsNet,,0.33,17273000.0,122574000.0,yes,yes,n/a,True,ok,ok
ACHC,1520697,2020-12-31,0001564590-21-009466,2021-02-26,revenue,3,revenue 2020-03-31: 10-Q 7.8281e+08 -> 10-K 5.09217e+08; revenue 2020-06-30: 10-Q 7.50311e+08 -> 10-K 4.91475e+08; revenue 2020-09-30: 10-Q 8.33304e+08 -> 10-K 5.47961e+08,-8.78,-783672000.0,541276000.0,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,-8.81,-783672000.0,541276000.0,no,yes,yes,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
ACIW,935036,2016-12-31,0001193125-17-065734,2017-03-01,net_income,1,net_income 2016-06-30: 10-Q -1.6858e+07 -> 10-K -1.6474e+07,0.56,66691000.0,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.54,66691000.0,342730000.0,no,yes,n/a,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
ACM,868857,2015-09-30,0001047469-15-008965,2015-11-25,"eps,net_income",2,net_income 2014-12-31: 10-Q -1.03503e+08 -> 10-K -1.39e+08; eps 2014-12-31: 10-Q -0.73 -> 10-K -0.98,0.01,1100000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.01,1056000.0,,yes,no,n/a,True,"NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)","NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)"
ADUS,1468328,2018-12-31,0001564590-19-008098,2019-03-18,net_income,2,net_income 2018-03-31: 10-Q 4.858e+06 -> 10-K 4.886e+06; net_income 2018-09-30: 10-Q 3.546e+06 -> 10-K 3.631e+06,0.35,4668000.0,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.35,4689000.0,139803000.0,yes,yes,n/a,True,ok,ok
ADUS,1468328,2019-12-31,0001564590-20-038909,2020-08-10,"eps,net_income",5,net_income 2019-03-31: 10-Q 4.862e+06 -> 10-K 4.296e+06; net_income 2019-06-30: 10-Q 5.518e+06 -> 10-K 5.292e+06; net_income 2019-09-30: 10-Q 4.867e+06 -> 10-K 4.912e+06; eps 2019-03-31: 10-Q 0.36 -> 10-K 0.32; eps 2019-06-30: 10-Q 0.41 -> 10-K 0.39,0.68,10737000.0,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.67,10737000.0,191566000.0,yes,yes,n/a,True,ok,ok
