ticker,quarter,field,stored,source_value,source_accession,match,class_of_mismatch
AGNT,Q1 2027,eps,-0.07,-0.07,0001558370-25-006489,yes,
AGNT,Q1 2027,revenue,954906000.0,954906000.0,0001558370-25-006489,yes,
AGNT,Q1 2027,net_income,-11024000.0,-11024000.0,0001558370-25-006489,yes,
AGNT,Q1 2027,earnings_release_date,2025-05-06,2025-05-06,0001558370-25-006489,yes,
ALGT,Q4 2023,eps,-0.09,-0.13,0001362468-24-000004,no,Q4_EPS_LOSS_QUARTER_SHARE_BASIS: NI matches (-1.956M); derived Q4 EPS uses too many shares (FY diluted basis) for a loss quarter reported on basic shares
ALGT,Q4 2023,revenue,611002000.0,611002000.0,0001362468-24-000004,yes,
ALGT,Q4 2023,net_income,-1956000.0,-1956000.0,0001362468-24-000004,yes,
ALGT,Q4 2023,earnings_release_date,2024-02-05,2024-02-05,0001362468-24-000004,yes,
ARW,Q4 2024,eps,1.88,1.86,0001894806-25-000002,no,Q4_EPS_NUMERATOR_NCI: stored EPS consistent with consolidated NI 99.9M incl. NCI; reported EPS uses NI to shareholders 99.2M (0.02)
ARW,Q4 2024,revenue,7282877000.0,7282877000.0,0001894806-25-000002,yes,
ARW,Q4 2024,net_income,99208000.0,99208000.0,0001894806-25-000002,yes,
ARW,Q4 2024,earnings_release_date,2025-02-06,2025-02-06,0001894806-25-000002,yes,
CALY,Q4 2023,eps,-0.38,-0.42,0000837465-24-000011,no,Q4_EPS_LOSS_QUARTER_SHARE_BASIS: NI matches (-77.1M); derived Q4 EPS uses too many shares (FY diluted basis) for a loss quarter reported on basic shares
CALY,Q4 2023,revenue,897100000.0,897100000.0,0000837465-24-000011,yes,
CALY,Q4 2023,net_income,-77100000.0,-77100000.0,0000837465-24-000011,yes,
CALY,Q4 2023,earnings_release_date,2024-02-13,2024-02-13,0000837465-24-000011,yes,
CHRD,Q1 2025,eps,3.66,3.66,0001486159-25-000021,yes,
CHRD,Q1 2025,revenue,1215047000.0,1215047000.0,0001486159-25-000021,yes,
CHRD,Q1 2025,net_income,219837000.0,219837000.0,0001486159-25-000021,yes,
CHRD,Q1 2025,earnings_release_date,2025-05-06,2025-05-06,0001486159-25-000021,yes,
CLF,Q1 2023,eps,-0.11,-0.11,0000764065-23-000079,yes,
CLF,Q1 2023,revenue,5295000000.0,5295000000.0,0000764065-23-000079,yes,
CLF,Q1 2023,net_income,-57000000.0,-57000000.0,0000764065-23-000079,yes,
CLF,Q1 2023,earnings_release_date,2023-04-24,2023-04-24,0000764065-23-000079,yes,
CNXC,Q4 2024,eps,1.72,1.72,0001803599-25-000011,yes,
CNXC,Q4 2024,revenue,2448024000.0,2448024000.0,0001803599-25-000011,yes,
CNXC,Q4 2024,net_income,115650000.0,115650000.0,0001803599-25-000011,yes,
CNXC,Q4 2024,earnings_release_date,2025-01-15,2025-01-15,0001803599-25-000011,yes,
COLM,Q4 2023,eps,1.54,1.55,0001050797-24-000011,yes,
COLM,Q4 2023,revenue,1059994000.0,1059994000.0,0001050797-24-000011,yes,
COLM,Q4 2023,net_income,93340000.0,93340000.0,0001050797-24-000011,yes,
COLM,Q4 2023,earnings_release_date,2024-02-01,2024-02-01,0001050797-24-000011,yes,
CPF,Q3 2023,eps,0.49,0.49,0000701347-23-000039,yes,
CPF,Q3 2023,revenue,61975000.0,61975000.0,0000701347-23-000039,yes,
CPF,Q3 2023,net_income,13141000.0,13141000.0,0000701347-23-000039,yes,
CPF,Q3 2023,earnings_release_date,2023-10-25,2023-10-25,0000701347-23-000039,yes,
CRGY,Q3 2023,eps,-0.67,-0.67,0001866175-23-000071,yes,
CRGY,Q3 2023,revenue,642398000.0,642398000.0,0001866175-23-000071,yes,
CRGY,Q3 2023,net_income,-52870000.0,-52870000.0,0001866175-23-000071,yes,
CRGY,Q3 2023,earnings_release_date,2023-11-06,2023-11-06,0001866175-23-000071,yes,
CURB,Q3 2024,eps,-0.15,,0000950170-24-126295,n/a,NO_SOURCE_VALUE (value not in source doc: OVV release w/o GAAP statement; UTL 10-K w/o Q4 column; CURB carve-out w/o EPS)
CURB,Q3 2024,revenue,29762000.0,29762000.0,0000950170-24-126295,yes,
CURB,Q3 2024,net_income,-15410000.0,-15410000.0,0000950170-24-126295,yes,
CURB,Q3 2024,earnings_release_date,2024-11-13,2024-11-13,0000950170-24-126295,yes,
CYTK,Q2 2023,eps,-1.34,-1.34,0000950170-23-037924,yes,
CYTK,Q2 2023,revenue,867000.0,867000.0,0000950170-23-037924,yes,
CYTK,Q2 2023,net_income,-128637000.0,-128637000.0,0000950170-23-037924,yes,
CYTK,Q2 2023,earnings_release_date,2023-08-03,2023-08-03,0000950170-23-037924,yes,
DORM,Q2 2025,eps,1.91,1.91,0000868780-25-000041,yes,
DORM,Q2 2025,revenue,540959000.0,540959000.0,0000868780-25-000041,yes,
DORM,Q2 2025,net_income,58709000.0,58709000.0,0000868780-25-000041,yes,
DORM,Q2 2025,earnings_release_date,2025-08-04,2025-08-04,0000868780-25-000041,yes,
EPAC,Q2 2025,eps,0.38,0.38,0001171843-25-001661,yes,
EPAC,Q2 2025,revenue,145528000.0,145528000.0,0001171843-25-001661,yes,
EPAC,Q2 2025,net_income,20901000.0,20901000.0,0001171843-25-001661,yes,
EPAC,Q2 2025,earnings_release_date,2025-03-24,2025-03-24,0001171843-25-001661,yes,
FLO,Q2 2022,eps,0.25,0.25,0001193125-22-219212,yes,
FLO,Q2 2022,revenue,1129051000.0,1129051000.0,0001193125-22-219212,yes,
FLO,Q2 2022,net_income,53680000.0,53680000.0,0001193125-22-219212,yes,
FLO,Q2 2022,earnings_release_date,2022-08-11,2022-08-11,0001193125-22-219212,yes,
GEO,Q2 2026,eps,0.36,0.36,0001193125-26-336562,yes,
GEO,Q2 2026,revenue,732072000.0,732072000.0,0001193125-26-336562,yes,
GEO,Q2 2026,net_income,47503000.0,47503000.0,0001193125-26-336562,yes,
GEO,Q2 2026,earnings_release_date,2026-08-06,2026-08-06,0001193125-26-336562,yes,
GHC,Q3 2024,eps,16.42,16.42,0000104889-24-000066,yes,
GHC,Q3 2024,revenue,1207162000.0,1207162000.0,0000104889-24-000066,yes,
GHC,Q3 2024,net_income,72503000.0,72503000.0,0000104889-24-000066,yes,
GHC,Q3 2024,earnings_release_date,2024-10-30,2024-10-30,0000104889-24-000066,yes,
HCC,Q2 2022,eps,5.74,5.74,0001691303-22-000025,yes,
HCC,Q2 2022,revenue,625156000.0,625156000.0,0001691303-22-000025,yes,
HCC,Q2 2022,net_income,296992000.0,296992000.0,0001691303-22-000025,yes,
HCC,Q2 2022,earnings_release_date,2022-08-03,2022-08-03,0001691303-22-000025,yes,
HR,Q2 2026,eps,-0.13,-0.13,0001360604-26-000063,yes,
HR,Q2 2026,revenue,281849000.0,281849000.0,0001360604-26-000063,yes,
HR,Q2 2026,net_income,-43514000.0,-43514000.0,0001360604-26-000063,yes,
HR,Q2 2026,earnings_release_date,2026-07-30,2026-07-30,0001360604-26-000063,yes,
HRMY,Q4 2024,eps,0.85,0.85,0001558370-25-001439,yes,
HRMY,Q4 2024,revenue,201267000.0,201267000.0,0001558370-25-001439,yes,
HRMY,Q4 2024,net_income,49475000.0,49475000.0,0001558370-25-001439,yes,
HRMY,Q4 2024,earnings_release_date,2025-02-25,2025-02-25,0001558370-25-001439,yes,
ITGR,Q1 2026,eps,0.48,0.48,0001171843-26-002878,yes,
ITGR,Q1 2026,revenue,439580000.0,439580000.0,0001171843-26-002878,yes,
ITGR,Q1 2026,net_income,16506000.0,16506000.0,0001171843-26-002878,yes,
ITGR,Q1 2026,earnings_release_date,2026-04-30,2026-04-30,0001171843-26-002878,yes,
KMX,Q3 2026,eps,0.43,0.43,0001170010-25-000129,yes,
KMX,Q3 2026,revenue,5793946000.0,5793946000.0,0001170010-25-000129,yes,
KMX,Q3 2026,net_income,62215000.0,62215000.0,0001170010-25-000129,yes,
KMX,Q3 2026,earnings_release_date,2025-12-18,2025-12-18,0001170010-25-000129,yes,
LNTH,Q1 2024,eps,1.87,1.87,0001628280-24-019794,yes,
LNTH,Q1 2024,revenue,369975000.0,369975000.0,0001628280-24-019794,yes,
LNTH,Q1 2024,net_income,131066000.0,131066000.0,0001628280-24-019794,yes,
LNTH,Q1 2024,earnings_release_date,2024-05-02,2024-05-02,0001628280-24-019794,yes,
MP,Q3 2023,eps,-0.02,-0.02,0001801368-23-000034,yes,
MP,Q3 2023,revenue,52516000.0,52516000.0,0001801368-23-000034,yes,
MP,Q3 2023,net_income,-4276000.0,-4276000.0,0001801368-23-000034,yes,
MP,Q3 2023,earnings_release_date,2023-11-02,2023-11-02,0001801368-23-000034,yes,
MRCY,Q2 2025,eps,-0.3,-0.3,0001049521-25-000007,yes,
MRCY,Q2 2025,revenue,223125000.0,223125000.0,0001049521-25-000007,yes,
MRCY,Q2 2025,net_income,-17579000.0,-17579000.0,0001049521-25-000007,yes,
MRCY,Q2 2025,earnings_release_date,2025-02-04,2025-02-04,0001049521-25-000007,yes,
MTUS,Q2 2024,eps,0.1,0.1,0000950170-24-094023,yes,
MTUS,Q2 2024,revenue,294700000.0,294700000.0,0000950170-24-094023,yes,
MTUS,Q2 2024,net_income,4600000.0,4600000.0,0000950170-24-094023,yes,
MTUS,Q2 2024,earnings_release_date,2024-08-08,2024-08-08,0000950170-24-094023,yes,
ONTO,Q4 2023,eps,0.61,0.61,0000950170-24-012766,yes,
