ticker,quarter_end_date,field,old,new,new_note
ACM,2020-03-31,revenue,3245700000.0,3245737000.0,nan
ACM,2020-06-30,revenue,3189700000.0,3189679000.0,nan
ACM,2020-12-31,revenue,3313200000.0,3313155000.0,nan
ACM,2021-03-31,revenue,3265500000.0,3265573000.0,nan
ACM,2021-06-30,revenue,3408400000.0,3408357000.0,nan
ACM,2021-12-31,revenue,3266700000.0,3266716000.0,nan
ACM,2022-03-31,revenue,3213700000.0,3213658000.0,nan
ACM,2022-06-30,revenue,3241700000.0,3241695000.0,nan
ASTE,2020-03-31,revenue,288800000.0,288848000.0,nan
ASTE,2020-06-30,revenue,265300000.0,265299000.0,nan
ASTE,2020-09-30,revenue,231400000.0,231404000.0,nan
AXON,2024-03-31,revenue,459871000.0,460736000.0,nan
AXON,2024-06-30,revenue,503236000.0,504099000.0,nan
AZTA,2024-12-31,revenue,147436000.0,147510000.0,nan
AZTA,2025-03-31,revenue,143338000.0,143418000.0,nan
AZTA,2025-06-30,revenue,143855000.0,143942000.0,nan
BANR,2020-06-30,revenue,119580000.0,119457000.0,revenue basis: net interest income
BBWI,2022-01-29,revenue,3028000000.0,3027000000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
BCC,2020-03-31,revenue,1170500000.0,1170534000.0,nan
BCC,2020-06-30,revenue,1242800000.0,1242760000.0,nan
BCC,2020-09-30,revenue,1589300000.0,1589313000.0,nan
BIO,2020-03-31,revenue,571600000.0,571644000.0,nan
BIO,2020-06-30,revenue,536900000.0,536880000.0,nan
BIO,2020-09-30,revenue,647300000.0,647263000.0,nan
BIO,2020-12-31,revenue,789826000.0,789839000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
BIO,2021-03-31,revenue,726800000.0,726796000.0,nan
BIO,2021-06-30,revenue,715900000.0,715931000.0,nan
BIO,2021-09-30,revenue,747000000.0,747049000.0,nan
BIO,2021-12-31,revenue,732845000.0,732769000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
BIO,2022-03-31,revenue,700100000.0,700062000.0,nan
BIO,2022-06-30,revenue,691100000.0,691099000.0,nan
BIO,2022-12-31,revenue,730249000.0,730288000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
BIO,2023-03-31,revenue,676800000.0,676844000.0,nan
BIO,2023-06-30,revenue,681100000.0,681110000.0,nan
BIO,2023-09-30,revenue,632100000.0,632124000.0,nan
BIO,2023-12-31,revenue,681262000.0,681184000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
BIO,2024-03-31,revenue,610800000.0,610820000.0,nan
BIO,2024-06-30,revenue,638500000.0,638476000.0,nan
BIO,2024-09-30,revenue,649700000.0,649729000.0,nan
BIO,2024-12-31,revenue,667500000.0,667475000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
BLKB,2025-03-31,revenue,269900000.0,270661000.0,nan
BLKB,2025-06-30,revenue,282000000.0,281382000.0,nan
CARG,2025-12-31,revenue,209093000.0,241094000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
CASH,2025-09-30,revenue,186708000.0,186707000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; revenue basis: net interest income + noninterest income; Q4 NI derived from SEC FY-Q1-Q2-Q3, no indep"
CC,2024-09-30,revenue,1508000000.0,1501000000.0,nan
CC,2024-12-31,revenue,1394000000.0,1365000000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
CDP,2021-12-31,revenue,163677000.0,185932000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
CHCO,2020-03-31,revenue,73758000.0,73762000.0,revenue basis: net interest income + noninterest income
CHRD,2020-11-19,revenue,138210000.0,,Q4 EPS: no shares data for derivation
COST,2020-08-30,revenue,61556000000.0,53383000000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
CPK,2020-03-31,revenue,152690000.0,152710000.0,nan
CR,2024-12-31,revenue,387500000.0,544100000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
CRC,2020-10-31,revenue,149000000.0,,Q4 EPS: no shares data for derivation
CSW,2020-06-30,revenue,91000000.0,90964000.0,nan
CSW,2020-09-30,revenue,104900000.0,104940000.0,nan
CSW,2020-12-31,revenue,89900000.0,89932000.0,nan
CSW,2021-06-30,revenue,161300000.0,161266000.0,nan
CSW,2021-09-30,revenue,155600000.0,155585000.0,nan
CSW,2021-12-31,revenue,136300000.0,136286000.0,nan
DBD,2024-12-31,revenue,1075400000.0,988900000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
DXPE,2020-03-31,revenue,301000000.0,300983000.0,nan
DXPE,2020-06-30,revenue,251400000.0,251401000.0,nan
DXPE,2020-09-30,revenue,220200000.0,220193000.0,nan
DXPE,2021-03-31,revenue,245587000.0,245616000.0,nan
ELAN,2022-03-31,revenue,1226000000.0,1225000000.0,nan
ELAN,2022-06-30,revenue,1175000000.0,1177000000.0,nan
ELAN,2022-09-30,revenue,1026000000.0,1028000000.0,nan
ELAN,2022-12-31,revenue,984000000.0,981000000.0,"Q4 rev derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 NI derived from SEC FY-Q1-Q2-Q3, no independent check; Q4 EPS = NI/shares (derived shares)"
EPRT,2020-09-30,revenue,42908000.0,42909000.0,nan
EQH,2020-03-31,revenue,12609000000.0,12593000000.0,FLAG: revenue > 3x adjacent quarter (as filed)
EXP,2020-06-30,revenue,426989000.0,428020000.0,nan
FLR,2020-03-31,revenue,4118600000.0,4118556000.0,nan
FLR,2020-06-30,revenue,4091000000.0,4090993000.0,nan
FLR,2020-09-30,revenue,3803200000.0,3803210000.0,nan
FLR,2021-03-31,revenue,2939000000.0,2938526000.0,nan
FLR,2021-06-30,revenue,3236000000.0,3236407000.0,nan
FLR,2021-09-30,revenue,3103000000.0,3103085000.0,nan
FLS,2020-03-31,revenue,893500000.0,894457000.0,nan
FLS,2020-06-30,revenue,925000000.0,924965000.0,nan
FLS,2020-09-30,revenue,924300000.0,924301000.0,nan
FLS,2021-03-31,revenue,857300000.0,857308000.0,nan
FLS,2021-06-30,revenue,898200000.0,898178000.0,nan
FLS,2021-09-30,revenue,866100000.0,866118000.0,nan
FRPT,2020-03-31,revenue,70098000.0,70097805.0,nan
FRPT,2020-06-30,revenue,79980000.0,79980060.0,nan
FRPT,2020-09-30,revenue,84190000.0,84189912.0,nan
GNTX,2022-03-31,revenue,468251000.0,468250776.0,nan
GNTX,2022-06-30,revenue,463423000.0,463423002.0,nan
GNTX,2022-09-30,revenue,493637000.0,493636695.0,nan
GNTX,2023-03-31,revenue,550761000.0,550761311.0,nan
GNTX,2023-06-30,revenue,583473000.0,583472846.0,nan
GNTX,2023-09-30,revenue,575848000.0,575848490.0,nan
GNTX,2024-03-31,revenue,590225000.0,590225211.0,nan
