ticker,url,http_status,data_found,fields_found,most_recent_period,revenue_latest,net_income_latest,eps_latest,note
QNBE.CA,https://stockanalysis.com/quote/egx/QNBE/financials/,200,yes,revenue;net_income;eps,FY 2025,"53,267","26,159",12.14,
VLMR.CA,https://stockanalysis.com/quote/egx/VLMR/financials/,200,yes,revenue;net_income;eps,FY 2025,684.93,133.28,0.11,
VLMRA.CA,https://stockanalysis.com/quote/egx/VLMRA/financials/,404,no,,,,,,non-200 status
GPPL.CA,https://stockanalysis.com/quote/egx/GPPL/financials/,200,yes,revenue;net_income;eps,FY 2025,90.07,36.51,0.06,
BIOC.CA,https://stockanalysis.com/quote/egx/BIOC/financials/,200,yes,revenue;net_income;eps,FY 2025,"3,731",213.23,2.55,
IRON.CA,https://stockanalysis.com/quote/egx/IRON/financials/,200,yes,revenue;net_income;eps,FY 2023,"2,472","1,183",-1.01,
EGCH.CA,https://stockanalysis.com/quote/egx/EGCH/financials/,200,yes,revenue;net_income;eps,FY 2024,"6,532","2,538",2.14,
VALU.CA,https://stockanalysis.com/quote/egx/VALU/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,165",764.39,0.36,
TAQA.CA,https://stockanalysis.com/quote/egx/TAQA/financials/,200,yes,revenue;net_income;eps,FY 2025,"25,594","1,053",0.78,
AMES.CA,https://stockanalysis.com/quote/egx/AMES/financials/,200,yes,revenue;net_income;eps,FY 2025,467.9,55.04,0.44,
UBEE.CA,https://stockanalysis.com/quote/egx/UBEE/financials/,200,yes,revenue;net_income;eps,FY 2025,"6,188","1,956",1.78,
IFAP.CA,https://stockanalysis.com/quote/egx/IFAP/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,112",421.54,1.11,
PRDC.CA,https://stockanalysis.com/quote/egx/PRDC/financials/,200,yes,revenue;net_income;eps,FY 2025,"6,411",361.77,0.35,
MOIN.CA,https://stockanalysis.com/quote/egx/MOIN/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,670",377.7,1.45,
ISMQ.CA,https://stockanalysis.com/quote/egx/ISMQ/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,354",697.99,0.71,
PHTV.CA,https://stockanalysis.com/quote/egx/PHTV/financials/,200,yes,revenue;net_income;eps,FY 2025,"3,066",751.87,31.72,
BONY.CA,https://stockanalysis.com/quote/egx/BONY/financials/,200,yes,revenue;net_income;eps,FY 2025,757.88,"2,001",1.09,
MPCI.CA,https://stockanalysis.com/quote/egx/MPCI/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,508",505.28,22.21,
AMIA.CA,https://stockanalysis.com/quote/egx/AMIA/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,439",268.53,0.53,
CPCI.CA,https://stockanalysis.com/quote/egx/CPCI/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,079",443.72,29.71,
KORA.CA,https://stockanalysis.com/quote/egx/KORA/financials/,404,no,,,,,,non-200 status
AFMC.CA,https://stockanalysis.com/quote/egx/AFMC/financials/,200,yes,revenue;net_income;eps,FY 2025,372.4,54.17,1.65,
SUGR.CA,https://stockanalysis.com/quote/egx/SUGR/financials/,200,yes,revenue;net_income;eps,FY 2025,"8,829",-526.13,-3.70,
AXPH.CA,https://stockanalysis.com/quote/egx/AXPH/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,751",391.17,78.23,
ELEC.CA,https://stockanalysis.com/quote/egx/ELEC/financials/,200,yes,revenue;net_income;eps,FY 2025,"10,819",501.39,0.15,
SPIN.CA,https://stockanalysis.com/quote/egx/SPIN/financials/,200,yes,revenue;net_income;eps,FY 2025,739.51,-13.61,-0.04,
ACAP.CA,https://stockanalysis.com/quote/egx/ACAP/financials/,200,yes,revenue;net_income;eps,FY 2025,"3,147",586.83,0.75,
NINH.CA,https://stockanalysis.com/quote/egx/NINH/financials/,200,yes,revenue;net_income;eps,FY 2025,525.48,161.22,0.54,
NAPR.CA,https://stockanalysis.com/quote/egx/NAPR/financials/,200,yes,revenue;net_income;eps,FY 2025,"7,641",303.48,1.43,
GOUR.CA,https://stockanalysis.com/quote/egx/GOUR/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,878",189.74,0.50,
OCPH.CA,https://stockanalysis.com/quote/egx/OCPH/financials/,200,yes,revenue;net_income;eps,FY 2024,"1,228",131.26,5.47,
KABO.CA,https://stockanalysis.com/quote/egx/KABO/financials/,200,yes,revenue;net_income;eps,FY 2024,"1,022",128.93,0.28,
WCDF.CA,https://stockanalysis.com/quote/egx/WCDF/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,694",424.85,56.65,
MFSC.CA,https://stockanalysis.com/quote/egx/MFSC/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,359",312.55,3.33,
UNIT.CA,https://stockanalysis.com/quote/egx/UNIT/financials/,200,yes,revenue;net_income;eps,FY 2025,366.37,220.29,0.95,
KZPC.CA,https://stockanalysis.com/quote/egx/KZPC/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,956",35.15,0.12,
GDWA.CA,https://stockanalysis.com/quote/egx/GDWA/financials/,200,yes,revenue;net_income;eps,FY 2025,"15,774",411.26,0.08,
AJWA.CA,https://stockanalysis.com/quote/egx/AJWA/financials/,200,yes,revenue;net_income;eps,FY 2024,"1,702",27.42,1.36,
UEFM.CA,https://stockanalysis.com/quote/egx/UEFM/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,748",278.5,39.79,
CRST.CA,https://stockanalysis.com/quote/egx/CRST/financials/,200,yes,revenue;net_income;eps,FY 2025,281,77.7,0.13,
SDTI.CA,https://stockanalysis.com/quote/egx/SDTI/financials/,200,yes,revenue;net_income;eps,FY 2025,352.6,201.96,3.81,
ADCI.CA,https://stockanalysis.com/quote/egx/ADCI/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,118",198.93,16.58,
ISMA.CA,https://stockanalysis.com/quote/egx/ISMA/financials/,200,yes,revenue;net_income;eps,FY 2025,56.5,45.64,0.51,
INFI.CA,https://stockanalysis.com/quote/egx/INFI/financials/,200,yes,revenue;net_income;eps,FY 2025,418.75,71.76,3.52,
ELKA.CA,https://stockanalysis.com/quote/egx/ELKA/financials/,200,yes,revenue;net_income;eps,FY 2025,553.6,598.7,0.32,
ACTF.CA,https://stockanalysis.com/quote/egx/ACTF/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,109",496.36,0.44,
ELSH.CA,https://stockanalysis.com/quote/egx/ELSH/financials/,200,yes,revenue;net_income;eps,FY 2025,220.86,162.33,0.72,
ZEOT.CA,https://stockanalysis.com/quote/egx/ZEOT/financials/,200,yes,revenue;net_income;eps,FY 2025,"3,646",2.56,0.01,
GTWL.CA,https://stockanalysis.com/quote/egx/GTWL/financials/,200,yes,revenue;net_income;eps,FY 2025,877.63,99.8,6.99,
ALRA.CA,https://stockanalysis.com/quote/egx/ALRA/financials/,200,yes,revenue;net_income;eps,FY 2025,91.17,-7.85,-0.01,
DAPH.CA,https://stockanalysis.com/quote/egx/DAPH/financials/,200,yes,revenue;net_income;eps,FY 2025,542.91,-138.4,-5.88,
ACAMD.CA,https://stockanalysis.com/quote/egx/ACAMD/financials/,200,yes,revenue;net_income;eps,FY 2025,1.38,-1.45,-0.00,
SMFR.CA,https://stockanalysis.com/quote/egx/SMFR/financials/,200,yes,revenue;net_income;eps,FY 2025,321.93,63.17,6.58,
ETRS.CA,https://stockanalysis.com/quote/egx/ETRS/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,228",112.68,0.65,
EDFM.CA,https://stockanalysis.com/quote/egx/EDFM/financials/,200,yes,revenue;net_income;eps,FY 2025,874.74,183.37,30.56,
MILS.CA,https://stockanalysis.com/quote/egx/MILS/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,164",-24.81,-2.32,
LUTS.CA,https://stockanalysis.com/quote/egx/LUTS/financials/,404,no,,,,,,non-200 status
MPCO.CA,https://stockanalysis.com/quote/egx/MPCO/financials/,200,yes,revenue;net_income;eps,FY 2025,856.99,2.05,0.00,
CEFM.CA,https://stockanalysis.com/quote/egx/CEFM/financials/,200,yes,revenue;net_income;eps,FY 2025,871.63,140.11,9.52,
NARE.CA,https://stockanalysis.com/quote/egx/NARE/financials/,200,yes,revenue;net_income;eps,FY 2025,241.65,92.11,0.72,
PHGC.CA,https://stockanalysis.com/quote/egx/PHGC/financials/,404,no,,,,,,non-200 status
ATLC.CA,https://stockanalysis.com/quote/egx/ATLC/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,933",226.76,0.72,
GPIM.CA,https://stockanalysis.com/quote/egx/GPIM/financials/,200,yes,revenue;net_income;eps,FY 2025,46.08,13.62,0.01,
AALR.CA,https://stockanalysis.com/quote/egx/AALR/financials/,200,yes,revenue;net_income;eps,FY 2025,95.49,-24.86,-3.82,
EALR.CA,https://stockanalysis.com/quote/egx/EALR/financials/,200,yes,revenue;net_income;eps,FY 2025,168.58,5.11,0.98,
GGCC.CA,https://stockanalysis.com/quote/egx/GGCC/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,134",140.95,0.07,
RACC.CA,https://stockanalysis.com/quote/egx/RACC/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,877",269.34,1.31,
EHDR.CA,https://stockanalysis.com/quote/egx/EHDR/financials/,200,yes,revenue;net_income;eps,FY 2025,241.6,67.15,0.10,
GGRN.CA,https://stockanalysis.com/quote/egx/GGRN/financials/,404,no,,,,,,non-200 status
MOSC.CA,https://stockanalysis.com/quote/egx/MOSC/financials/,200,yes,revenue;net_income;eps,FY 2025,"3,225",57.1,9.52,
CAED.CA,https://stockanalysis.com/quote/egx/CAED/financials/,200,yes,revenue;net_income;eps,FY 2025,132.2,12.73,1.06,
ADPC.CA,https://stockanalysis.com/quote/egx/ADPC/financials/,200,yes,revenue;net_income;eps,FY 2024,"3,083",90.53,0.18,
IDRE.CA,https://stockanalysis.com/quote/egx/IDRE/financials/,200,yes,revenue;net_income;eps,FY 2025,2.42,1.31,0.04,
ECAP.CA,https://stockanalysis.com/quote/egx/ECAP/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,759",-88.79,-1.66,
ODIN.CA,https://stockanalysis.com/quote/egx/ODIN/financials/,200,yes,revenue;net_income;eps,FY 2025,213.66,137.02,0.23,
WKOL.CA,https://stockanalysis.com/quote/egx/WKOL/financials/,200,yes,revenue;net_income;eps,FY 2025,311.01,81.16,14.49,
SNFC.CA,https://stockanalysis.com/quote/egx/SNFC/financials/,200,yes,revenue;net_income;eps,FY 2025,17.37,0.8,0.00,
SCFM.CA,https://stockanalysis.com/quote/egx/SCFM/financials/,200,yes,revenue;net_income;eps,FY 2025,263.29,6.07,1.01,
MENA.CA,https://stockanalysis.com/quote/egx/MENA/financials/,200,yes,revenue;net_income;eps,FY 2025,5.22,-25.26,-0.10,
ICID.CA,https://stockanalysis.com/quote/egx/ICID/financials/,200,yes,revenue;net_income;eps,FY 2025,12.48,11.06,0.11,
DTPP.CA,https://stockanalysis.com/quote/egx/DTPP/financials/,200,yes,revenue;net_income;eps,FY 2025,805.91,66.14,11.81,
PRCL.CA,https://stockanalysis.com/quote/egx/PRCL/financials/,200,yes,revenue;net_income;eps,FY 2025,112.21,-99.22,-1.97,
NCCW.CA,https://stockanalysis.com/quote/egx/NCCW/financials/,200,yes,revenue;net_income;eps,FY 2025,348.76,60.35,0.24,
DEIN.CA,https://stockanalysis.com/quote/egx/DEIN/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,999",801.4,6.48,
NHPS.CA,https://stockanalysis.com/quote/egx/NHPS/financials/,200,yes,revenue;net_income;eps,FY 2023,0.08,58.81,3.68,
CERA.CA,https://stockanalysis.com/quote/egx/CERA/financials/,200,yes,revenue;net_income;eps,FY 2025,"2,286",37.57,0.03,
SEIG.CA,https://stockanalysis.com/quote/egx/SEIG/financials/,200,yes,revenue;net_income;eps,FY 2025,60.31,40.25,8.05,
SEIGA.CA,https://stockanalysis.com/quote/egx/SEIGA/financials/,404,no,,,,,,non-200 status
OBRI.CA,https://stockanalysis.com/quote/egx/OBRI/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,293",49.32,1.23,
NDRL.CA,https://stockanalysis.com/quote/egx/NDRL/financials/,200,yes,revenue;net_income;eps,FY 2025,29.46,9.95,1.99,
MEPA.CA,https://stockanalysis.com/quote/egx/MEPA/financials/,200,yes,revenue;net_income;eps,FY 2025,119.77,24.23,0.04,
SIPC.CA,https://stockanalysis.com/quote/egx/SIPC/financials/,200,yes,revenue;net_income;eps,FY 2025,54.88,10.08,0.04,
AMII.CA,https://stockanalysis.com/quote/egx/AMII/financials/,200,yes,revenue;net_income;eps,FY 2025,172.75,0.45,0.01,
ALUM.CA,https://stockanalysis.com/quote/egx/ALUM/financials/,200,yes,revenue;net_income;eps,FY 2025,579.2,2.01,0.05,
AFDI.CA,https://stockanalysis.com/quote/egx/AFDI/financials/,200,yes,revenue;net_income;eps,FY 2025,169.07,4.21,0.23,
RREI.CA,https://stockanalysis.com/quote/egx/RREI/financials/,200,yes,revenue;net_income;eps,FY 2024,70.94,5.76,0.02,
AIDC.CA,https://stockanalysis.com/quote/egx/AIDC/financials/,404,no,,,,,,non-200 status
RTVC.CA,https://stockanalysis.com/quote/egx/RTVC/financials/,200,yes,revenue;net_income;eps,FY 2024,"5,961","2,811",11.39,
GTEX.CA,https://stockanalysis.com/quote/egx/GTEX/financials/,404,no,,,,,,non-200 status
ASPI.CA,https://stockanalysis.com/quote/egx/ASPI/financials/,200,yes,revenue;net_income;eps,FY 2025,421.28,63.26,0.03,
POCO.CA,https://stockanalysis.com/quote/egx/POCO/financials/,404,no,,,,,,non-200 status
EBSC.CA,https://stockanalysis.com/quote/egx/EBSC/financials/,200,yes,revenue;net_income;eps,FY 2025,26.75,16.77,0.03,
KRDI.CA,https://stockanalysis.com/quote/egx/KRDI/financials/,200,yes,revenue;net_income;eps,FY 2025,416.03,42.62,0.02,
TANM.CA,https://stockanalysis.com/quote/egx/TANM/financials/,404,no,,,,,,non-200 status
MOED.CA,https://stockanalysis.com/quote/egx/MOED/financials/,200,yes,revenue;net_income;eps,FY 2025,47.46,4.45,0.00,
PRMH.CA,https://stockanalysis.com/quote/egx/PRMH/financials/,200,yes,revenue;net_income;eps,FY 2025,253.41,108.68,0.31,
UNIP.CA,https://stockanalysis.com/quote/egx/UNIP/financials/,200,yes,revenue;net_income;eps,FY 2025,"1,374",13.05,0.01,
APSW.CA,https://stockanalysis.com/quote/egx/APSW/financials/,200,yes,revenue;net_income;eps,FY 2025,92.59,-46.95,-0.50,
KWIN.CA,https://stockanalysis.com/quote/egx/KWIN/financials/,200,yes,revenue;net_income;eps,FY 2025,23.03,17.5,1.67,
ROTO.CA,https://stockanalysis.com/quote/egx/ROTO/financials/,200,yes,revenue;net_income;eps,FY 2025,208.22,37.7,2.18,
MEGM.CA,https://stockanalysis.com/quote/egx/MEGM/financials/,200,yes,revenue;net_income;eps,FY 2025,"5,855","1,050",16.76,
TYCN.CA,https://stockanalysis.com/quote/egx/TYCN/financials/,200,yes,revenue;net_income;eps,FY 2025,5.42,3.23,0.06,
ICLE.CA,https://stockanalysis.com/quote/egx/ICLE/financials/,200,yes,revenue;net_income;eps,FY 2025,383.98,208.21,4.13,
RUBX.CA,https://stockanalysis.com/quote/egx/RUBX/financials/,200,yes,revenue;net_income;eps,FY 2025,388.58,4.21,0.07,
SPMD.CA,https://stockanalysis.com/quote/egx/SPMD/financials/,200,yes,revenue;net_income;eps,FY 2023,60.33,-84.05,-0.05,
AIHC.CA,https://stockanalysis.com/quote/egx/AIHC/financials/,200,yes,revenue;net_income;eps,FY 2024,"1,468",-23.59,-0.02,
EASB.CA,https://stockanalysis.com/quote/egx/EASB/financials/,200,yes,revenue;net_income;eps,FY 2025,51.97,20.71,0.21,
EEII.CA,https://stockanalysis.com/quote/egx/EEII/financials/,200,yes,revenue;net_income;eps,FY 2025,200.18,5.76,0.03,
RAKT.CA,https://stockanalysis.com/quote/egx/RAKT/financials/,200,yes,revenue;net_income;eps,FY 2023,0.27,-51.76,-1.73,
AREH.CA,https://stockanalysis.com/quote/egx/AREH/financials/,200,yes,revenue;net_income;eps,FY 2025,16.79,-39.42,-0.10,
CCRS.CA,https://stockanalysis.com/quote/egx/CCRS/financials/,200,yes,revenue;net_income;eps,FY 2023,6.56,-0.22,-0.00,
GRCA.CA,https://stockanalysis.com/quote/egx/GRCA/financials/,200,yes,revenue;net_income;eps,FY 2026,7.55,27.4,3.51,
EPCO.CA,https://stockanalysis.com/quote/egx/EPCO/financials/,200,yes,revenue;net_income;eps,FY 2025,8.81,-10.78,-0.25,
GIHD.CA,https://stockanalysis.com/quote/egx/GIHD/financials/,200,yes,revenue;net_income;eps,FY 2025,6.22,5.55,0.99,
ELWA.CA,https://stockanalysis.com/quote/egx/ELWA/financials/,200,yes,revenue;net_income;eps,FY 2025,96.53,71.06,0.39,
ELNA.CA,https://stockanalysis.com/quote/egx/ELNA/financials/,200,yes,net_income;eps,FY 2026,,-2.18,-0.28,
