ticker,from,to,days,from_q,to_q,class,evidence
ACT,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
ADIG,2025-06-28,2026-07-04,371,Q1 2026,Q2 2026,NO_10K_FACTS,
AESI,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,InterestIncomeExpenseNet:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K; ProfitLoss:2022-12-31:10-K
ALHC,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
APP,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
ATMU,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K
BROS,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,NetIncomeLoss:2020-12-31:10-K; ProfitLoss:2020-12-31:10-K; RevenueFromContractWithCustomerExcludingAssessedTax:2020-12-31:10-K
BTSG,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
CART,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K
CAVA,2022-10-02,2023-04-16,196,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-25:10-K; EarningsPerShareDiluted:2022-12-25:10-K; InterestIncomeExpenseNet:2022-12-25:10-K
CERT,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
CHRD,2020-11-19,2021-03-31,132,Q4 2020,Q1 2021,SOURCE_GAP,
CNH,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareBasic:2021-12-31:10-K/A; EarningsPerShareDiluted:2021-12-31:10-K
CNM,2020-11-01,2021-05-02,182,Q3 2020,Q1 2021,ANNUAL_ONLY,NetIncomeLoss:2021-01-31:10-K; ProfitLoss:2021-01-31:10-K; RevenueFromContractWithCustomerExcludingAssessedTax:2021-01-31:10-K
CNMD,2025-12-31,2026-06-30,181,Q4 2025,Q2 2026,SOURCE_GAP,
CNXC,2020-08-31,2021-02-28,181,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-11-30:10-K; EarningsPerShareDiluted:2020-11-30:10-K; NetIncomeLoss:2020-11-30:10-K
COCO,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
CON,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
CR,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K
CRBG,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,ANNUAL_ONLY,NetIncomeLoss:2021-12-31:10-K; ProfitLoss:2021-12-31:10-K; Revenues:2021-12-31:10-K
CRC,2020-10-31,2021-03-31,151,Q4 2020,Q1 2021,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
CRGY,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,RAW_QUARTER_EXISTS,NetIncomeLoss:2020-12-31:10-K; ProfitLoss:2020-12-31:10-K; RevenueFromContractWithCustomerExcludingAssessedTax:2020-12-31:10-K
CURB,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
CWEN,2023-06-30,2023-12-31,184,Q3 2023,Q4 2023,RAW_QUARTER_EXISTS,NetIncomeLoss:2023-09-30:10-Q; ProfitLoss:2023-09-30:10-Q; Revenues:2023-09-30:10-Q
CXM,2020-10-31,2021-04-30,181,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-01-31:10-K; EarningsPerShareDiluted:2021-01-31:10-K; NetIncomeLoss:2021-01-31:10-K
DBD,2023-06-30,2024-03-31,275,Q2 2023,Q1 2024,SOURCE_GAP,
DFH,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
DINO,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareBasic:2021-12-31:10-Q; EarningsPerShareDiluted:2021-12-31:10-K
DOCN,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareBasic:2020-12-31:10-K/A; EarningsPerShareDiluted:2020-12-31:10-K
DOCS,2020-12-31,2021-06-30,181,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-03-31:10-K; EarningsPerShareDiluted:2021-03-31:10-K; NetIncomeLoss:2021-03-31:10-K
DTM,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
DUOL,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
DV,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
ECG,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
ESAB,2021-10-01,2022-04-01,182,Q3 2021,Q1 2022,ANNUAL_ONLY,EarningsPerShareBasic:2021-12-31:10-K; EarningsPerShareDiluted:2021-12-31:10-K; NetIncomeLoss:2021-12-31:10-K
FA,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
FTRE,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareBasic:2022-12-31:10-Q; EarningsPerShareDiluted:2022-12-31:10-K
FUN,2023-09-24,2024-03-31,189,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
GEF,2025-03-31,2025-12-31,275,Q3 2025,Q1 2026,RAW_QUARTER_EXISTS,NetIncomeLoss:2025-04-30:10-Q; NetIncomeLoss:2025-07-31:10-Q; ProfitLoss:2025-04-30:10-Q
GPOR,2021-03-31,2021-09-30,183,Q1 2021,Q3 2021,SOURCE_GAP,
GPOR,2021-09-30,2022-03-31,182,Q3 2021,Q1 2022,SOURCE_GAP,
GXO,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
HAYW,2020-09-26,2021-04-03,189,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
HRB,2020-10-31,2021-04-30,181,Q3 2021,Q4 2021,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2020-12-31:10-Q; EarningsPerShareBasic:2021-01-31:10-Q; EarningsPerShareBasic:2021-03-31:10-Q
HRB,2021-04-30,2021-09-30,153,Q4 2021,Q1 2022,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2021-06-30:10-K; EarningsPerShareDiluted:2021-06-30:10-K; NetIncomeLoss:2021-06-30:10-K
JXN,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
KD,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; ProfitLoss:2020-12-31:10-K
KD,2021-12-31,2022-06-30,181,Q4 2021,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-03-31:10-K; EarningsPerShareDiluted:2022-03-31:10-K; ProfitLoss:2022-03-31:10-K
KGS,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; NetIncomeLoss:2022-12-31:10-K
KNF,2022-09-30,2023-03-31,182,Q3 2022,Q1 2023,ANNUAL_ONLY,EarningsPerShareBasic:2022-12-31:10-K; EarningsPerShareDiluted:2022-12-31:10-K; InterestIncomeExpenseNet:2022-12-31:10-K
LFST,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,SOURCE_GAP,
