ticker,prev,next,quarters_by_date,quarters_by_label
ADIG,Q1 2026@2025-06-28,Q2 2026@2026-07-04,4,1
CWEN,Q2 2023@2023-05-31,Q3 2023@2023-06-30,0,1
CWEN,Q3 2023@2023-06-30,Q4 2023@2023-12-31,2,1
GEF,Q1 2025@2024-12-31,Q2 2025@2025-01-31,0,1
GEF,Q3 2025@2025-03-31,Q1 2026@2025-12-31,3,2
HRB,Q4 2021@2021-04-30,Q1 2022@2021-09-30,2,1
KD,Q4 2021@2021-12-31,Q1 2023@2022-06-30,2,5
MBGL,Q1 2026@2025-06-30,Q2 2026@2026-06-30,4,1
MFP,Q1 2026@2025-06-28,Q2 2026@2026-07-04,4,1
MIR,Q1 2023@2021-03-31,Q4 2023@2021-06-30,1,3
MIR,Q1 2024@2021-09-30,Q2 2024@2021-10-19,0,1
MIR,Q3 2024@2021-12-31,Q1 2025@2022-09-30,3,2
MIR,Q1 2025@2022-09-30,Q4 2025@2022-12-31,1,3
OSK,Q4 2021@2021-09-30,Q1 2022@2022-03-31,2,1
RGLD,Q1 2023@2022-09-30,Q4 2023@2022-12-31,1,3
SPHR,Q1 2026@2025-09-30,Q4 2026@2025-12-31,1,3
UA,Q4 2021@2021-12-31,Q1 2023@2022-06-30,2,5
UAA,Q4 2021@2021-12-31,Q1 2023@2022-06-30,2,5
VAL,Q1 2021@2021-03-31,Q2 2021@2021-04-30,0,1
VAL,Q3 2021@2021-06-30,Q1 2022@2022-03-31,3,2
VTOL,Q2 2023@2023-09-30,Q4 2023@2023-12-31,1,2
ZWS,Q2 2024@2021-09-30,Q4 2024@2021-12-31,1,2
