ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
AA,2017-12-31,-1.04,1.17,1.16,0.01,False
AA,2018-12-31,0.22,1.19,1.2,0.01,False
AA,2019-12-31,-1.66,-6.09,-6.07,0.02,False
AA,2020-12-31,-0.02,-0.91,-0.91,0.0,False
AA,2021-12-31,-2.06,2.26,2.26,0.0,False
AA,2022-12-31,-2.31,-1.04,-0.68,0.36,True
AA,2023-12-31,-0.84,-3.65,-3.65,0.0,False
AA,2024-12-31,0.77,-0.15,0.26,0.41,True
AA,2025-12-31,0.81,4.38,4.37,0.01,False
AAL,2014-12-31,0.82,3.92,3.93,0.01,False
AAL,2015-12-31,5.09,11.29,11.07,0.22,False
AAL,2016-12-31,0.56,4.78,4.81,0.03,False
AAL,2017-12-31,0.54,3.91,3.9,0.01,False
AAL,2018-12-31,0.7,3.05,3.03,0.02,False
AAL,2019-12-31,0.95,3.81,3.79,0.02,False
AAL,2020-12-31,-3.81,-18.6,-18.36,0.24,False
AAL,2021-12-31,-1.65,-3.34,-3.09,0.25,True
AAL,2022-12-31,1.5,0.35,0.19,0.16,True
AAL,2023-12-31,0.04,1.11,1.21,0.1,True
AAL,2024-12-31,0.75,1.05,1.24,0.19,True
AAL,2025-12-31,0.15,0.17,0.17,0.0,False
AAMI,2019-12-31,0.79,2.48,2.45,0.03,False
AAMI,2020-12-31,2.42,3.49,3.49,0.0,False
AAMI,2021-12-31,0.53,10.04,10.29,0.25,False
AAMI,2022-12-31,0.72,2.34,2.33,0.01,False
AAMI,2023-12-31,0.54,1.55,1.55,0.0,False
AAMI,2024-12-31,1.13,2.24,2.22,0.02,False
AAMI,2025-12-31,0.97,2.21,2.21,0.0,False
AAON,2015-12-31,0.24,0.83,0.84,0.01,False
AAON,2016-12-31,0.21,0.97,1.0,0.03,False
AAON,2017-12-31,0.3,1.03,1.03,0.0,False
AAON,2018-12-31,0.24,0.81,0.81,0.0,False
AAON,2019-12-31,0.33,1.01,1.02,0.01,False
AAON,2020-12-31,0.35,1.48,1.49,0.01,False
AAON,2021-12-31,0.11,1.08,1.09,0.01,False
AAON,2022-12-31,0.71,1.85,1.86,0.01,False
AAON,2024-12-31,0.3,2.01,2.02,0.01,False
AAON,2025-12-31,0.39,1.3,1.29,0.01,False
AAP,2015-01-03,1.15,6.71,6.71,0.0,False
AAP,2016-01-02,0.74,6.4,6.4,0.0,False
AAP,2016-12-31,0.84,6.19,6.2,0.01,False
AAP,2017-12-30,2.49,6.42,6.42,0.0,False
AAP,2018-12-29,0.73,5.72,5.73,0.01,False
AAP,2019-12-28,1.37,6.83,6.84,0.01,False
AAP,2021-01-02,1.65,7.15,7.14,0.01,False
AAP,2022-01-01,1.29,9.52,9.55,0.03,False
AAP,2022-12-31,1.78,8.26,8.27,0.01,False
AAP,2023-12-30,-1.01,0.08,0.5,0.42,True
AAP,2024-12-28,-6.92,-5.6,-5.61,0.01,False
AAP,2026-01-03,0.1,0.73,0.73,0.0,False
AAPL,2015-09-26,1.96,9.2,9.22,0.02,False
AAPL,2016-09-24,1.67,8.27,8.31,0.04,False
AAPL,2017-09-30,2.07,9.2,9.21,0.01,False
AAPL,2018-09-29,2.91,11.87,11.91,0.04,False
AAPL,2019-09-28,3.03,11.85,11.89,0.04,False
AAPL,2021-09-25,1.24,5.62,5.61,0.01,False
AAPL,2022-09-24,1.29,6.11,6.11,0.0,False
AAPL,2023-09-30,1.46,6.12,6.13,0.01,False
AAPL,2024-09-28,0.97,6.08,6.08,0.0,False
AAPL,2025-09-27,1.85,7.47,7.46,0.01,False
AAT,2014-12-31,0.16,0.51,0.51,0.0,False
AAT,2015-12-31,0.18,0.86,0.86,0.0,False
AAT,2016-12-31,0.19,0.72,0.72,0.0,False
AAT,2017-12-31,0.15,0.62,0.62,0.0,False
AAT,2018-12-31,0.11,0.39,0.42,0.03,False
