ticker,between,implied_ratio,looks_like,in_split_table
ACMR,2021-12-31 -> 2022-09-30,3.02,3:1,True
AMZN,2022-03-31 -> 2022-09-30,19.961,20:1,True
BBT,2024-12-31 -> 2025-06-30,2.011,2:1,False
CELH,2023-09-30 -> 2024-03-31,2.964,3:1,True
CHDN,2023-03-31 -> 2023-06-30,2.012,2:1,True
COKE,2025-03-28 -> 2025-06-27,9.961,10:1,True
CRGY,2023-03-31 -> 2023-09-30,1.921,2:1,False
CRVL,2024-09-30 -> 2024-12-31,2.991,3:1,True
EXLS,2023-06-30 -> 2023-09-30,4.984,5:1,True
GME,2022-04-30 -> 2022-07-30,3.998,4:1,True
GOOGL,2022-03-31 -> 2022-06-30,19.65,20:1,True
HUBG,2023-09-30 -> 2023-12-31,1.948,2:1,True
MLI,2022-12-31 -> 2023-04-01,2.006,2:1,True
MTH,2024-09-30 -> 2024-12-31,1.983,2:1,True
NSSC,2021-09-30 -> 2023-03-31,1.974,2:1,True
NVDA,2021-05-02 -> 2021-08-01,4.006,4:1,True
NVDA,2024-04-28 -> 2024-07-28,9.945,10:1,True
PANW,2024-10-31 -> 2025-01-31,1.993,2:1,True
PIPR,2025-12-31 -> 2026-03-31,3.994,4:1,True
PNFP,2025-06-30 -> 2026-03-31,2.062,2:1,False
POWL,2025-12-31 -> 2026-03-31,3.019,3:1,True
RBA,2023-03-31 -> 2023-06-30,1.958,2:1,False
RLI,2024-09-30 -> 2024-12-31,2.016,2:1,True
SM,2025-12-31 -> 2026-03-31,1.914,2:1,False
TTEK,2024-06-30 -> 2024-09-29,5.004,5:1,True
USLM,2024-03-31 -> 2024-06-30,5.021,5:1,True
WMT,2023-07-31 -> 2024-01-31,2.996,3:1,True
