ticker,effective_date,ratio,verdict,median_orig_over_restated,n_quarters,store_rows_on_wrong_basis
AAON,2014-07-16,3/2,CONFIRMED,1.5,5,
AAON,2023-08-16,3/2,CONFIRMED,1.5,3,
AAPL,2014-06-06,7,CONFIRMED,7.0024154589371985,6,
AAPL,2020-08-28,4,CONFIRMED,3.9843749999999996,7,
ACIW,2014-07-10,3,CONFIRMED,2.946705426356589,2,
ACLS,2016-06-30,1/4,NO_EVIDENCE,,0,
ACMR,2022-03-23,3,CONFIRMED,3.066666666666667,3,
ADAM,2023-03-09,1/4,CONFIRMED,0.24812030075187969,3,
AGNT,2021-02-12,2,CONFIRMED,2.0,1,
AHR,2022-11-15,1/4,NO_EVIDENCE,,0,
ALK,2014-07-09,2,CONFIRMED,1.9864864864864864,3,
AMZN,2022-06-06,20,CONFIRMED,19.89473684210526,3,
ANDE,2014-02-18,3/2,CONFIRMED,1.5,7,
APG,2025-06-30,3/2,CONFIRMED,1.5,2,
APLE,2015-05-18,1/2,NO_EVIDENCE,,0,
ARR,2015-07-31,1/8,CONFIRMED,0.12485827664399093,4,
ARR,2023-09-29,1/5,CONFIRMED,0.2003344481605351,2,
ASTH,2015-04-24,1/10,NO_EVIDENCE,,0,
AX,2015-11-17,4,CONFIRMED,3.9705882352941178,5,
BANF,2017-07-31,2,CONFIRMED,2.0,5,
BLFS,2014-01-29,1/14,NO_EVIDENCE,,0,
BMI,2016-09-15,2,CONFIRMED,2.0,6,
BNL,2020-09-18,4,NO_EVIDENCE,,0,
BTU,2015-09-30,1/15,CONFIRMED,0.06635071090047394,3,
CALM,2014-10-31,2,CONFIRMED,2.0,5,
CASH,2018-10-04,3,CONFIRMED,3.043478260869565,9,
CBSH,2014-12-15,21/20,CONFIRMED,1.046875,3,
CBSH,2015-12-14,21/20,CONFIRMED,1.0476190476190477,3,
CBSH,2016-12-19,21/20,CONFIRMED,1.0483870967741935,3,
CBSH,2017-12-18,21/20,CONFIRMED,1.0563380281690142,3,
CBSH,2018-12-17,21/20,CONFIRMED,1.0510204081632653,3,
CBSH,2019-12-18,21/20,CONFIRMED,1.053763440860215,3,
CBSH,2020-12-18,21/20,CONFIRMED,1.0476190476190477,3,
CBSH,2021-12-17,21/20,CONFIRMED,1.0471698113207548,3,
CBSH,2022-12-19,21/20,CONFIRMED,1.0515463917525774,3,
CBSH,2023-12-19,21/20,CONFIRMED,1.0439560439560438,3,
CBSH,2024-12-18,21/20,CONFIRMED,1.048780487804878,3,
CBSH,2025-12-16,21/20,CONFIRMED,1.049817500246621,2,
CELH,2023-11-13,3,CONFIRMED,3.0588235294117645,3,
CENT,2024-02-08,5/4,CONFIRMED,1.249,2,
CENTA,2024-02-08,5/4,CONFIRMED,1.249,2,
CGNX,2017-12-01,2,CONFIRMED,2.0,3,
CHDN,2019-01-25,3,CONFIRMED,3.0000000000000004,7,
CHDN,2023-05-19,2,NO_EVIDENCE,,0,
CLSK,2019-12-11,1/10,NO_EVIDENCE,,0,
COKE,2025-05-23,10,NO_EVIDENCE,,0,
COLM,2014-09-26,2,CONFIRMED,1.9780458860759493,2,
CPK,2014-09-08,3/2,CONFIRMED,1.4975728155339807,6,
CRC,2016-05-31,1/10,CONFIRMED,0.09926470588235294,1,
CRK,2016-07-29,1/5,NO_EVIDENCE,,0,
CRVL,2024-12-24,3,CONFIRMED,3.0,3,
CSR,2018-12-27,1/10,NO_EVIDENCE,,0,
CUBI,2014-06-30,11/10,CONFIRMED,1.1034482758620692,5,
CUZ,2019-06-14,1/4,NO_EVIDENCE,,0,
CWEN,2015-05-14,2,NO_EVIDENCE,,0,
DAVE,2023-01-05,1/32,NO_EVIDENCE,,0,
DEA,2025-04-28,2/5,NO_EVIDENCE,,0,
ELS,2019-10-15,2,CONFIRMED,2.0,6,
ENOV,2022-04-04,1/3,NO_EVIDENCE,,0,
ENSG,2015-12-23,2,CONFIRMED,2.0,3,
EXLS,2023-08-01,5,CONFIRMED,5.0344827586206895,3,
EXPO,2015-06-04,2,CONFIRMED,2.0,5,
EXPO,2018-06-07,2,CONFIRMED,1.9707130730050935,4,
EYE,2017-10-24,100000/196627,NO_EVIDENCE,,0,
FFIN,2014-06-02,2,CONFIRMED,1.967741935483871,3,
FFIN,2019-06-03,2,CONFIRMED,1.9642857142857142,3,
FIZZ,2021-02-19,2,CONFIRMED,1.9871794871794872,6,
FLG,2024-07-11,1/3,CONFIRMED,0.33232931726907633,2,
GEO,2017-04-24,3/2,CONFIRMED,1.5064102564102564,4,
GGG,2017-12-27,3,CONFIRMED,3.0,7,
GIII,2015-05-01,2,CONFIRMED,2.005681818181818,3,
GME,2022-07-21,4,CONFIRMED,4.0,3,
GNL,2017-02-28,1/3,NO_EVIDENCE,,0,
GNTX,2014-12-31,2,CONFIRMED,2.0,7,
GOOGL,2022-07-15,20,CONFIRMED,20.016260162601625,3,
HOMB,2016-06-08,2,CONFIRMED,2.0,3,
HR,2014-12-15,1/2,NO_EVIDENCE,,0,
HUBG,2024-01-26,2,CONFIRMED,2.0,3,
HWKN,2021-03-01,2,CONFIRMED,2.018181818181818,3,
IART,2017-01-03,2,CONFIRMED,1.975,6,
IVT,2021-08-05,1/10,NO_EVIDENCE,,0,
KNTK,2020-06-30,1/20,NO_EVIDENCE,,0,
KNTK,2022-06-08,2,CONFIRMED,2.0999999999999996,1,
KR,2015-07-13,2,CONFIRMED,2.0,5,
KRG,2014-08-11,1/4,NO_EVIDENCE,,0,
LKFN,2016-08-05,3/2,CONFIRMED,1.5,5,
LNTH,2015-06-25,11121/31250,NO_EVIDENCE,,0,
LXP,2025-11-10,1/5,NO_EVIDENCE,,0,
MANH,2014-01-10,4,CONFIRMED,4.0,7,
MARA,2014-12-22,2,CONFIRMED,2.0,1,
MARA,2017-10-30,1/4,NO_EVIDENCE,,0,
MARA,2019-04-08,1/4,NO_EVIDENCE,,0,
MBIN,2022-01-17,3/2,CONFIRMED,1.5,7,
MIDD,2014-06-27,3,CONFIRMED,2.9856879983643427,4,
MLI,2014-03-28,2,CONFIRMED,1.9969135802469133,4,
MLI,2023-10-20,2,CONFIRMED,2.0,6,
MLI,2026-06-30,2,CONFIRMED,2.0,1,
MRTN,2017-07-07,5/3,CONFIRMED,1.6666666666666667,5,
MRTN,2020-08-13,3/2,CONFIRMED,1.513157894736842,6,
MTH,2025-01-02,2,CONFIRMED,2.0,3,
NEOG,2017-12-29,4/3,CONFIRMED,1.3333333333333335,5,
NEOG,2021-06-04,2,CONFIRMED,2.066666666666667,7,
NJR,2015-03-03,2,CONFIRMED,2.0,4,
NKE,2015-12-23,2,CONFIRMED,2.0,3,
NLY,2022-09-23,1/4,CONFIRMED,0.25,3,
NOG,2020-09-18,1/10,CONFIRMED,0.10084033613445378,3,
NSP,2017-12-18,2,CONFIRMED,1.987012987012987,7,
NSSC,2022-01-04,2,CONFIRMED,2.0,2,
NVDA,2021-07-19,4,CONFIRMED,3.9868421052631575,3,
NVDA,2024-06-07,10,CONFIRMED,9.966666666666669,3,
OPCH,2020-02-03,1/4,NO_EVIDENCE,,0,
OUT,2025-01-17,1000000/1024549,CONFIRMED,0.9738712374581939,2,
PANW,2024-12-13,2,CONFIRMED,2.020408163265306,3,
PATK,2015-05-29,3/2,CONFIRMED,1.5087719298245614,7,
PATK,2017-12-08,3/2,CONFIRMED,1.4933333333333334,7,
PATK,2024-12-13,3/2,CONFIRMED,1.5,3,
PECO,2021-07-02,1/3,NO_EVIDENCE,,0,
PEGA,2014-04-01,2,CONFIRMED,2.0,3,
PEGA,2025-06-20,2,CONFIRMED,1.9782608695652173,1,
PENG,2022-02-01,2,CONFIRMED,1.972972972972973,3,
PI,2016-07-08,1/12,NO_EVIDENCE,,0,
PINS,2019-03-28,1/3,NO_EVIDENCE,,0,
PIPR,2026-03-23,4,CONFIRMED,4.022443658036878,2,
PLUS,2017-03-31,2,CONFIRMED,2.0,8,
PLUS,2021-12-13,2,CONFIRMED,2.0,3,
POWI,2020-08-18,2,CONFIRMED,1.9642401021711366,6,
POWL,2026-04-01,3,CONFIRMED,3.0,2,
REX,2022-08-05,3,NO_EVIDENCE,,0,
REX,2025-09-15,2,CONFIRMED,1.9615384615384615,3,
RITM,2014-10-17,1/2,CONFIRMED,0.4970588235294118,4,
RLI,2014-01-15,2,CONFIRMED,2.0,7,
RLI,2025-01-15,2,CONFIRMED,2.0,3,
RUSHA,2020-10-12,3/2,CONFIRMED,1.5099437148217636,6,
RUSHA,2023-08-28,3/2,CONFIRMED,1.4957264957264957,3,
SARO,2024-09-20,103,NO_EVIDENCE,,0,
SBSI,2014-05-01,21/20,INCONCLUSIVE,0.9745762711864407,4,
SBSI,2015-05-14,21/20,CONFIRMED,1.0349969567863664,4,
SBSI,2016-06-28,21/20,CONFIRMED,1.0465367965367967,4,
SBSI,2017-06-27,41/40,CONFIRMED,1.0223214285714284,4,
SEDG,2015-03-23,1/3,NO_EVIDENCE,,0,
SEZL,2023-05-11,1/38,NO_EVIDENCE,,0,
SEZL,2025-03-28,6,CONFIRMED,6.01219512195122,3,
SF,2020-12-16,3/2,CONFIRMED,1.5051546391752577,7,
SF,2026-02-26,3/2,CONFIRMED,1.502808988764045,2,
SFBS,2014-07-16,3,CONFIRMED,2.981132075471698,5,
