ticker,status,effective_date,ratio_new_per_old,ratio_float,type,label,sec_accession,filing,note
AAMI,REJECTED (not a split),2021-12,,,,,0001104659-21-147893,SC TO-I/A,tender-offer buyback of ~43% of shares
CHRD,REJECTED (not a split),2022-07,,,,,0001193125-22-189506,8-K,Oasis-Whiting merger share issuance
RBA,REJECTED (not a split),2023-03,,,,,0001104659-23-034673,8-K,IAA acquisition share issuance
CRGY,REJECTED (not a split),2023-06,,,,,0001866175-23-000073,10-Q,OpCo unit conversion to Class A + public offering
BBT,REJECTED (not a split),2025-09,,,,,0001108134-25-000017,8-K,Berkshire-Brookline reverse acquisition (history replaced)
COKE,REJECTED (not a split),2025-11,,,,,0001628280-25-050682,8-K,buyback of The Coca-Cola Company's 18.8M shares (split in May 2025 is real)
PNFP,REJECTED (not a split),2026-01,,,,,0001115055-26-000002,8-K,Pinnacle-Synovus merger into a new holding company
SM,REJECTED (not a split),2026-01,,,,,0001104659-26-008380,8-K,Civitas Resources merger share issuance
MANH,VERIFIED,2014-01-10,4,4.0,forward,4-for-1,0001193125-14-038899,research (splits_2014_2021.py),
RLI,VERIFIED,2014-01-15,2,2.0,forward,2-for-1,0001104659-14-014137,research (splits_2014_2021.py),
BLFS,VERIFIED,2014-01-29,1/14,0.07142857142857142,reverse,1-for-14,0001354488-14-000653,research (splits_2014_2021.py),
ANDE,VERIFIED,2014-02-18,3/2,1.5,forward,3/2-for-1,0000821026-14-000008,research (splits_2014_2021.py),
WLK,VERIFIED,2014-03-18,2,2.0,forward,2-for-1,0001262823-14-000014,research (splits_2014_2021.py),
MLI,VERIFIED,2014-03-28,2,2.0,forward,2-for-1,0000089439-14-000019,research (splits_2014_2021.py),
PEGA,VERIFIED,2014-04-01,2,2.0,forward,2-for-1,0001193125-14-185094,research (splits_2014_2021.py),
TR,VERIFIED,2014-04-04,103/100,1.03,forward,103/100-for-1,0001558370-14-000090,research (splits_2014_2021.py),
UA,VERIFIED,2014-04-14,2,2.0,forward,2-for-1,0001336917-14-000020,research (splits_2014_2021.py),
UAA,VERIFIED,2014-04-14,2,2.0,forward,2-for-1,0001336917-14-000020,research (splits_2014_2021.py),
SBSI,VERIFIED,2014-05-01,21/20,1.05,forward,21/20-for-1,0000705432-14-000069,research (splits_2014_2021.py),
TREX,VERIFIED,2014-05-07,2,2.0,forward,2-for-1,0001193125-14-292640,research (splits_2014_2021.py),
FFIN,VERIFIED,2014-06-02,2,2.0,forward,2-for-1,0001193125-14-154068,research (splits_2014_2021.py),
AAPL,VERIFIED,2014-06-06,7,7.0,forward,7-for-1,0001193125-14-277160,research (splits_2014_2021.py),
TRN,VERIFIED,2014-06-19,2,2.0,forward,2-for-1,0000099780-14-000100,research (splits_2014_2021.py),
MIDD,VERIFIED,2014-06-27,3,3.0,forward,3-for-1,0000769520-14-000006,research (splits_2014_2021.py),
CUBI,VERIFIED,2014-06-30,11/10,1.1,forward,11/10-for-1,0001193125-14-303149,research (splits_2014_2021.py),
ALK,VERIFIED,2014-07-09,2,2.0,forward,2-for-1,0000766421-14-000055,research (splits_2014_2021.py),
ACIW,VERIFIED,2014-07-10,3,3.0,forward,3-for-1,0001193125-14-289556,research (splits_2014_2021.py),
WMS,VERIFIED,2014-07-11,4707/1000,4.707,forward,4707/1000-for-1,0001193125-16-521583,research (splits_2014_2021.py),
AAON,VERIFIED,2014-07-16,3/2,1.5,forward,3/2-for-1,0000824142-14-000083,research (splits_2014_2021.py),
SFBS,VERIFIED,2014-07-16,3,3.0,forward,3-for-1,0001144204-14-038246,research (splits_2014_2021.py),
KRG,VERIFIED,2014-08-11,1/4,0.25,reverse,1-for-4,0001104659-14-059941,research (splits_2014_2021.py),
UGI,VERIFIED,2014-09-05,3/2,1.5,forward,3/2-for-1,0001299933-14-001194,research (splits_2014_2021.py),
CPK,VERIFIED,2014-09-08,3/2,1.5,forward,3/2-for-1,0001299933-14-001031,research (splits_2014_2021.py),
COLM,VERIFIED,2014-09-26,2,2.0,forward,2-for-1,0001193125-14-278915,research (splits_2014_2021.py),
RITM,VERIFIED,2014-10-17,1/2,0.5,reverse,1-for-2,0001193125-14-375075,research (splits_2014_2021.py),
CALM,VERIFIED,2014-10-31,2,2.0,forward,2-for-1,0000016160-14-000036,research (splits_2014_2021.py),
CBSH,VERIFIED,2014-12-15,21/20,1.05,forward,21/20-for-1,0000022356-15-000013,research (splits_2014_2021.py),
HR,VERIFIED,2014-12-15,1/2,0.5,reverse,1-for-2,0001360604-14-000077,research (splits_2014_2021.py),
MARA,VERIFIED,2014-12-22,2,2.0,forward,2-for-1,0001415889-14-003690,research (splits_2014_2021.py),
GNTX,VERIFIED,2014-12-31,2,2.0,forward,2-for-1,0000355811-14-000055,research (splits_2014_2021.py),
NJR,VERIFIED,2015-03-03,2,2.0,forward,2-for-1,0000356309-15-000048,research (splits_2014_2021.py),
SEDG,VERIFIED,2015-03-23,1/3,0.3333333333333333,reverse,1-for-3,0001178913-15-002692,research (splits_2014_2021.py),
TR,VERIFIED,2015-04-10,103/100,1.03,forward,103/100-for-1,0001558370-15-000821,research (splits_2014_2021.py),
ASTH,VERIFIED,2015-04-24,1/10,0.1,reverse,1-for-10,0001144204-15-025170,research (splits_2014_2021.py),
GIII,VERIFIED,2015-05-01,2,2.0,forward,2-for-1,0001571049-15-002657,research (splits_2014_2021.py),
CWEN,VERIFIED,2015-05-14,2,2.0,forward,2-for-1,0001567683-16-000031,research (splits_2014_2021.py),
SBSI,VERIFIED,2015-05-14,21/20,1.05,forward,21/20-for-1,0000705432-15-000057,research (splits_2014_2021.py),
