ticker,latest_quarter_date,latest_quarter_label,bucket,error
COMI.CA,2026-06-30,Q2 2026,current (Q1 2026+),
SWDY.CA,2026-03-31,Q1 2026,current (Q1 2026+),
TMGH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ETEL.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EGAL.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MFPC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EAST.CA,2025-09-30,Q3 2025,borderline (Q3-Q4 2025),
HDBK.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ABUK.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ALCN.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EFIH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ORAS.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ADIB.CA,2026-06-30,Q2 2026,current (Q1 2026+),
FWRY.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EMFD.CA,2026-03-31,Q1 2026,current (Q1 2026+),
SCTS.CA,2024-11-30,Q4 2024,stale (<Q3 2025),
ORHD.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EFID.CA,2026-03-31,Q1 2026,current (Q1 2026+),
PHDC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
OCDI.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CANA.CA,2026-03-31,Q1 2026,current (Q1 2026+),
JUFO.CA,2026-06-30,Q2 2026,current (Q1 2026+),
HRHO.CA,2026-03-31,Q1 2026,current (Q1 2026+),
BTFH.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
GBCO.CA,2026-03-31,Q1 2026,current (Q1 2026+),
HELI.CA,2025-03-31,Q1 2025,stale (<Q3 2025),
FERC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CIEB.CA,2026-06-30,Q2 2026,current (Q1 2026+),
FAIT.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
FAITA.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
RAYA.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EXPA.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ARCC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CLHO.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CCAP.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
PHAR.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CIRA.CA,2026-05-31,Q2 2026,current (Q1 2026+),
EFIC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MCQE.CA,2026-03-31,Q1 2026,current (Q1 2026+),
SKPC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MTIE.CA,2026-03-31,Q1 2026,current (Q1 2026+),
POUL.CA,2026-03-31,Q1 2026,current (Q1 2026+),
SAUD.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EGTS.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
ORWE.CA,2026-03-31,Q1 2026,current (Q1 2026+),
NIPH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EGSA.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MASR.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MOIL.CA,2026-03-31,Q1 2026,current (Q1 2026+),
AMOC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
EGBE.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MHOT.CA,2026-03-31,Q1 2026,current (Q1 2026+),
TALM.CA,2026-05-31,Q2 2026,current (Q1 2026+),
ATQA.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ISPH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
RMDA.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CICH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
BINV.CA,2026-03-31,Q1 2026,current (Q1 2026+),
OIH.CA,2025-06-30,Q2 2025,stale (<Q3 2025),
MPRC.CA,2025-06-30,Q2 2025,stale (<Q3 2025),
OLFI.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MIPH.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
EGAS.CA,2026-03-31,Q1 2026,current (Q1 2026+),
DOMT.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
ZMID.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ENGC.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
CNFN.CA,2026-03-31,Q1 2026,current (Q1 2026+),
ARAB.CA,2025-09-30,Q3 2025,borderline (Q3-Q4 2025),
MICH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
AMER.CA,2026-03-31,Q1 2026,current (Q1 2026+),
DSCW.CA,2026-03-31,Q1 2026,current (Q1 2026+),
SVCE.CA,2025-12-31,Q4 2025,borderline (Q3-Q4 2025),
GSSC.CA,2025-09-30,Q3 2025,borderline (Q3-Q4 2025),
ACGC.CA,2024-12-31,Q4 2024,stale (<Q3 2025),
SAIB.CA,2025-03-31,Q1 2025,stale (<Q3 2025),
ASCM.CA,2025-09-30,Q3 2025,borderline (Q3-Q4 2025),
NAHO.CA,2026-03-31,Q1 2026,current (Q1 2026+),
LCSW.CA,2026-03-31,Q1 2026,current (Q1 2026+),
CFGH.CA,2026-03-31,Q1 2026,current (Q1 2026+),
UEGC.CA,2026-03-31,Q1 2026,current (Q1 2026+),
COSG.CA,2026-03-31,Q1 2026,current (Q1 2026+),
MCRO.CA,2026-03-31,Q1 2026,current (Q1 2026+),
